epoch,accuracy,binary_dice_coefficient,dice_coefficient,loss,lr,val_accuracy,val_binary_dice_coefficient,val_dice_coefficient,val_loss
0,0.9726600050926208,0.017058424651622772,0.008281034417450428,0.701614499092102,1e-04,0.6041732430458069,0.01610814779996872,0.011101274751126766,0.7344871759414673
1,0.9808854460716248,0.1467592418193817,0.015245411545038223,0.6930335760116577,1e-04,0.9577553868293762,0.09379623085260391,0.018070697784423828,0.7122628092765808
2,0.9887150526046753,0.19223052263259888,0.021983524784445763,0.6871781945228577,1e-04,0.9211734533309937,0.12863609194755554,0.023920414969325066,0.7660825848579407
3,0.9910945892333984,0.20628231763839722,0.028043415397405624,0.6825538873672485,1e-04,0.9109498858451843,0.14584685862064362,0.02696075104176998,0.7674967050552368
4,0.9922624826431274,0.22545960545539856,0.03419922664761543,0.6779822111129761,1e-04,0.8970387578010559,0.1335134506225586,0.03162570297718048,0.7958845496177673
5,0.9928641319274902,0.2406071573495865,0.04111736640334129,0.6730546355247498,1e-04,0.9550376534461975,0.16787001490592957,0.03771597519516945,0.7255262136459351
6,0.9933961033821106,0.25579017400741577,0.0496944785118103,0.6671121716499329,1e-04,0.9595247507095337,0.16610734164714813,0.04062885046005249,0.7088634967803955
7,0.993781328201294,0.26012346148490906,0.05978451669216156,0.6600977182388306,1e-04,0.9296252727508545,0.1706596314907074,0.052411071956157684,0.7379021048545837
8,0.9939624071121216,0.2753344178199768,0.0725424513220787,0.6513481140136719,1e-04,0.9839653968811035,0.25894415378570557,0.06320444494485855,0.6691827774047852
9,0.9951726198196411,0.29904070496559143,0.0886843353509903,0.63990718126297,1e-04,0.9597152471542358,0.24287815392017365,0.07323052734136581,0.6949198842048645
10,0.9958059191703796,0.3178449273109436,0.1083933636546135,0.6261076331138611,1e-04,0.9808628559112549,0.28076469898223877,0.09420104324817657,0.6518224477767944
11,0.9961817264556885,0.3384130299091339,0.13082247972488403,0.6104784607887268,1e-04,0.9879441857337952,0.3570733070373535,0.11434945464134216,0.6314438581466675
12,0.9966647624969482,0.362554132938385,0.15731479227542877,0.5918861627578735,1e-04,0.9840666651725769,0.3450184762477875,0.13977450132369995,0.6189059615135193
13,0.996795117855072,0.3762490153312683,0.18387795984745026,0.5734042525291443,1e-04,0.9827850461006165,0.32833656668663025,0.16273246705532074,0.6102998852729797
14,0.9974088668823242,0.40865907073020935,0.2215404510498047,0.5467680096626282,1e-04,0.988085150718689,0.37228310108184814,0.17722368240356445,0.5939048528671265
15,0.9978156089782715,0.44110816717147827,0.2596203088760376,0.5198487043380737,1e-04,0.9907132387161255,0.3823339641094208,0.22925995290279388,0.553230345249176
16,0.997999906539917,0.45814505219459534,0.2987760603427887,0.49240782856941223,1e-04,0.9928677678108215,0.33931729197502136,0.22278881072998047,0.5542932152748108
17,0.9980528354644775,0.4776822626590729,0.3339736759662628,0.4678035378456116,1e-04,0.9932471513748169,0.3776901960372925,0.2759929895401001,0.5172380208969116
18,0.9982494711875916,0.4992738962173462,0.372833251953125,0.4404671788215637,1e-04,0.9954252243041992,0.3859967291355133,0.28670746088027954,0.5057751536369324
19,0.9983203411102295,0.5077316761016846,0.40466219186782837,0.418117493391037,1e-04,0.9926058053970337,0.3872695565223694,0.31501638889312744,0.4925523102283478
20,0.9983946681022644,0.5304666757583618,0.439543217420578,0.39362284541130066,1e-04,0.9927471280097961,0.3492065370082855,0.2920320928096771,0.5095200538635254
21,0.9983663558959961,0.5364481210708618,0.46198198199272156,0.3779521882534027,1e-04,0.9939631819725037,0.4095717966556549,0.3582276701927185,0.45967885851860046
22,0.9982510805130005,0.5329254865646362,0.4762153625488281,0.3681892454624176,1e-04,0.9908599257469177,0.3826388418674469,0.35628193616867065,0.46929246187210083
23,0.9985026717185974,0.5640442371368408,0.5112003087997437,0.34338605403900146,1e-04,0.9952536821365356,0.37254634499549866,0.33760300278663635,0.47048550844192505
24,0.9985026121139526,0.5646955966949463,0.523186445236206,0.3349992334842682,1e-04,0.9934968948364258,0.4022822380065918,0.3763895332813263,0.4474889039993286
25,0.998552143573761,0.5856416821479797,0.5494632124900818,0.3165748417377472,1e-04,0.9937441349029541,0.40102022886276245,0.3884016275405884,0.4387369453907013
26,0.998596727848053,0.5898414850234985,0.5608033537864685,0.30860650539398193,1e-04,0.9946880340576172,0.3598030209541321,0.3490239679813385,0.4649835228919983
27,0.9985613226890564,0.5829221606254578,0.5604648590087891,0.30886486172676086,1e-04,0.9902320504188538,0.4079482853412628,0.3954983353614807,0.443414568901062
28,0.9985611438751221,0.5970686078071594,0.5755348205566406,0.2983567416667938,1e-04,0.995591938495636,0.37062835693359375,0.36267033219337463,0.45354074239730835
29,0.9985901713371277,0.5968615412712097,0.5807878971099854,0.29465624690055847,1e-04,0.9909555315971375,0.3716828525066376,0.3677113950252533,0.46131983399391174
30,0.998580813407898,0.6019704341888428,0.5878689885139465,0.2897557020187378,1e-04,0.9949655532836914,0.4272879958152771,0.42257586121559143,0.41322654485702515
31,0.9986039400100708,0.6114425659179688,0.5989857912063599,0.2819431722164154,1e-04,0.9941844344139099,0.4057715833187103,0.4016599655151367,0.4304778277873993
32,0.998644232749939,0.6202476620674133,0.6089511513710022,0.27494093775749207,1e-04,0.9957597851753235,0.4733720123767853,0.4685809016227722,0.3789500892162323
33,0.9986762404441833,0.6333511471748352,0.6236850023269653,0.26458632946014404,1e-04,0.9963381290435791,0.4042431712150574,0.3999902307987213,0.4257628619670868
34,0.9986377954483032,0.6219306588172913,0.6140195727348328,0.27140286564826965,1e-04,0.9962931275367737,0.4206892251968384,0.4170229136943817,0.41340965032577515
35,0.9986999034881592,0.6467514634132385,0.6395055055618286,0.2535274922847748,1e-04,0.9957441091537476,0.42425501346588135,0.4224584996700287,0.4117516875267029
