epoch,accuracy,dice_coefficient,loss,lr,val_accuracy,val_dice_coefficient,val_loss
0,0.8166532516479492,0.008155652321875095,0.5592741370201111,5e-05,0.9386813044548035,0.0175541453063488,nan
1,0.9668977856636047,0.009022766724228859,0.44048795104026794,5e-05,0.9116435050964355,0.018570328131318092,nan
2,0.9844621419906616,0.014326666481792927,0.3819696605205536,5e-05,0.8327327370643616,0.02346629835665226,nan
3,0.9876084923744202,0.02398058958351612,0.35384899377822876,5e-05,0.916689395904541,0.0357239805161953,nan
4,0.9910138249397278,0.03286151960492134,0.338022917509079,5e-05,0.9585967063903809,0.04080915451049805,nan
5,0.9921500086784363,0.04105573520064354,0.3294391632080078,5e-05,0.9601005911827087,0.04064355790615082,nan
6,0.9935659170150757,0.04819335415959358,0.32223784923553467,5e-05,0.9656532406806946,0.052445054054260254,nan
7,0.9948803186416626,0.0538703091442585,0.31769680976867676,5e-05,0.9806532263755798,0.05590665712952614,nan
8,0.9962207674980164,0.06182785704731941,0.3129086494445801,5e-05,0.9687384963035583,0.06936737149953842,nan
9,0.9965959191322327,0.0670379102230072,0.31049802899360657,5e-05,0.9893817901611328,0.0684419795870781,nan
10,0.9961140751838684,0.06616605818271637,0.3088568449020386,5e-05,0.9925698637962341,0.06733164936304092,nan
11,0.9970044493675232,0.07406407594680786,0.305835485458374,5e-05,0.9943932294845581,0.06936737149953842,nan
12,0.9963968396186829,0.06209494173526764,0.31120866537094116,5e-05,0.984327495098114,0.0655306726694107,nan
13,0.9964373111724854,0.07070896029472351,0.30795568227767944,5e-05,0.9774596095085144,0.07750268280506134,nan
14,0.996671736240387,0.07776819914579391,0.3052321970462799,5e-05,0.9785038232803345,0.07771791517734528,nan
15,0.996470034122467,0.07792965322732925,0.3046296238899231,5e-05,0.9873287081718445,0.0756843164563179,nan
16,0.9971051216125488,0.08977522701025009,0.30071383714675903,5e-05,0.9959022998809814,0.08650919795036316,nan
17,0.9970484375953674,0.0925494059920311,0.29927876591682434,5e-05,0.9944028854370117,0.09988515079021454,nan
18,0.997587263584137,0.093424491584301,0.2980552613735199,5e-05,0.9858620762825012,0.10630438476800919,nan
19,0.9976478815078735,0.10208069533109665,0.2957543432712555,5e-05,0.9920639395713806,0.11639503389596939,nan
20,0.9975993037223816,0.10359776765108109,0.2949804365634918,5e-05,0.9909163117408752,0.12067583948373795,nan
