epoch,accuracy,binary_dice_coefficient,dice_coefficient,loss,lr,val_accuracy,val_binary_dice_coefficient,val_dice_coefficient,val_loss,val_lr
0,0.940409243106842,0.027642948552966118,0.009616868570446968,0.6995197534561157,1e-04,NA,NA,NA,NA,NA
1,0.9860106706619263,0.05626486614346504,0.011838061735033989,0.6939927935600281,1e-04,NA,NA,NA,NA,NA
2,0.9831250905990601,0.1467573493719101,0.020987501367926598,0.6875147223472595,1e-04,NA,NA,NA,NA,NA
3,0.9893515706062317,0.18206262588500977,0.02991749532520771,0.6811892986297607,1e-04,NA,NA,NA,NA,NA
4,0.9908523559570312,0.2044687718153,0.03856147825717926,0.6751537322998047,1e-04,NA,NA,NA,NA,NA
5,0.9912770390510559,0.22002004086971283,0.04851946979761124,0.6682480573654175,1e-04,NA,NA,NA,NA,NA
6,0.9923872947692871,0.23887746036052704,0.06063934788107872,0.6597978472709656,1e-04,NA,NA,NA,NA,NA
7,0.9923946857452393,0.24401074647903442,0.07406387478113174,0.6506375074386597,1e-04,NA,NA,NA,NA,NA
8,0.9937485456466675,0.2682498097419739,0.09231681376695633,0.637771487236023,1e-04,NA,NA,NA,NA,NA
9,0.9943699240684509,0.27818119525909424,0.11160805821418762,0.6244183778762817,1e-04,NA,NA,NA,NA,NA
10,0.9952231049537659,0.3012307286262512,0.1366376429796219,0.6067694425582886,1e-04,NA,NA,NA,NA,NA
11,0.9959424734115601,0.3248460590839386,0.1638764590024948,0.5875632762908936,1e-04,NA,NA,NA,NA,NA
12,0.9964225888252258,0.34732669591903687,0.19420060515403748,0.5663105249404907,1e-04,NA,NA,NA,NA,NA
13,0.9969542622566223,0.37393584847450256,0.2286226898431778,0.542037844657898,1e-04,NA,NA,NA,NA,NA
14,0.9972513914108276,0.3870694935321808,0.25882911682128906,0.520767867565155,1e-04,NA,NA,NA,NA,NA
15,0.9976906180381775,0.4249776005744934,0.2986043095588684,0.49267563223838806,1e-04,NA,NA,NA,NA,NA
16,0.9978564381599426,0.445097416639328,0.33374857902526855,0.4680249094963074,1e-04,NA,NA,NA,NA,NA
17,0.9978893995285034,0.4469524025917053,0.3576124310493469,0.4513110816478729,1e-04,NA,NA,NA,NA,NA
18,0.9979901909828186,0.4684906005859375,0.389764666557312,0.42879924178123474,1e-04,NA,NA,NA,NA,NA
19,0.9980907440185547,0.4826563596725464,0.41761812567710876,0.40917661786079407,1e-04,NA,NA,NA,NA,NA
20,0.998123288154602,0.4927464425563812,0.4401969313621521,0.39341506361961365,1e-04,NA,NA,NA,NA,NA
21,0.9981521964073181,0.5070298910140991,0.46172600984573364,0.3784058094024658,1e-04,NA,NA,NA,NA,NA
22,0.9982144832611084,0.512850821018219,0.4782707095146179,0.36675742268562317,1e-04,NA,NA,NA,NA,NA
23,0.9982619881629944,0.5256227254867554,0.49703624844551086,0.3536157011985779,1e-04,NA,NA,NA,NA,NA
24,0.998209536075592,0.5226877927780151,0.49964913725852966,0.35187652707099915,1e-04,NA,NA,NA,NA,NA
25,0.9981017708778381,0.5214686393737793,0.5015839338302612,0.3506432771682739,1e-04,NA,NA,NA,NA,NA
26,0.9982550740242004,0.5389114022254944,0.5232414603233337,0.33534926176071167,1e-04,NA,NA,NA,NA,NA
27,0.998289942741394,0.5487639307975769,0.5360037684440613,0.32642507553100586,1e-04,NA,NA,NA,NA,NA
28,0.9981452822685242,0.5250453948974609,0.5149974822998047,0.34132254123687744,1e-04,NA,NA,NA,NA,NA
29,0.9983363747596741,0.5571199059486389,0.5483299493789673,0.31775644421577454,1e-04,NA,NA,NA,NA,NA
30,0.998371422290802,0.5578933358192444,0.5503503680229187,0.31638216972351074,1e-04,NA,NA,NA,NA,NA
31,0.9983347058296204,0.5593073964118958,0.5527245402336121,0.31473004817962646,1e-04,NA,NA,NA,NA,NA
32,0.9983545541763306,0.5555813312530518,0.5503187775611877,0.3164833188056946,1e-04,NA,NA,NA,NA,NA
33,0.9983932971954346,0.5709806084632874,0.5659464001655579,0.30544012784957886,1e-04,NA,NA,NA,NA,NA
34,0.9983868598937988,0.5695419311523438,0.5648746490478516,0.30624639987945557,1e-04,NA,NA,NA,NA,NA
35,0.998421847820282,0.575823962688446,0.5717674493789673,0.3013545870780945,1e-04,NA,NA,NA,NA,NA
36,0.9984204769134521,0.5790374279022217,0.5751989483833313,0.2990349531173706,1e-04,NA,NA,NA,NA,NA
37,0.9982448220252991,0.5563227534294128,0.5528712868690491,0.3147861361503601,1e-04,NA,NA,NA,NA,NA
38,0.9983975887298584,0.5772390961647034,0.5741294622421265,0.29982027411460876,1e-04,NA,NA,NA,NA,NA
39,0.9984520673751831,0.5911182761192322,0.5882522463798523,0.28987812995910645,1e-04,NA,NA,NA,NA,NA
40,0.9984699487686157,0.5944899320602417,0.591668426990509,0.28743720054626465,1e-04,NA,NA,NA,NA,NA
41,0.9984782934188843,0.5950814485549927,0.5924195647239685,0.28695955872535706,1e-04,NA,NA,NA,NA,NA
42,0.998516321182251,0.6044609546661377,0.6019275784492493,0.2802734076976776,1e-04,NA,NA,NA,NA,NA
43,0.9984777569770813,0.5975959300994873,0.595242440700531,0.2850346267223358,1e-04,NA,NA,NA,NA,NA
44,0.9985378384590149,0.6034502983093262,0.601163387298584,0.2807791829109192,1e-04,NA,NA,NA,NA,NA
45,0.9985269904136658,0.610853910446167,0.608732283115387,0.27548399567604065,1e-04,NA,NA,NA,NA,NA
46,0.9985129237174988,0.6022733449935913,0.6002983450889587,0.2814488708972931,1e-04,NA,NA,NA,NA,NA
47,0.9983347058296204,0.5684047937393188,0.5666345953941345,0.3052572011947632,1e-04,NA,NA,NA,NA,NA
48,0.998536229133606,0.6159948706626892,0.6142147183418274,0.27167049050331116,1e-04,NA,NA,NA,NA,NA
49,0.9985547661781311,0.6129212975502014,0.6110581755638123,0.27384525537490845,1e-04,NA,NA,NA,NA,NA
