epoch,dice_coefficient,loss,mean_iou,val_dice_coefficient,val_loss,val_mean_iou
0,0.07999830693006516,0.9089149832725525,0.4972899854183197,0.14225038886070251,0.8427833318710327,0.4983038604259491
1,0.14722149074077606,0.8306400179862976,0.4977372884750366,0.1702660769224167,0.8075103163719177,0.4983038604259491
2,0.14761902391910553,0.8206560015678406,0.49799656867980957,0.17488066852092743,0.7941671013832092,0.4983038604259491
3,0.1387820839881897,0.8186209797859192,0.49824562668800354,0.18003199994564056,0.7794705033302307,0.4983038604259491
4,0.1324481964111328,0.8143612146377563,0.49829450249671936,0.18492555618286133,0.7662979364395142,0.4983038604259491
5,0.12190741300582886,0.8148398399353027,0.4984389543533325,0.18137769401073456,0.7618202567100525,0.4983038604259491
6,0.11848895996809006,0.8100544810295105,0.4985128939151764,0.18639065325260162,0.7503036856651306,0.4983038604259491
7,0.11703847348690033,0.8043070435523987,0.49853426218032837,0.1889512836933136,0.7412562966346741,0.4983038604259491
8,0.10910573601722717,0.8047378659248352,0.49854063987731934,0.18975897133350372,0.7342317700386047,0.4983038604259491
9,0.1150943711400032,0.7941436171531677,0.49863988161087036,0.18978676199913025,0.7295278906822205,0.4983038604259491
10,0.10374195128679276,0.7986646890640259,0.49860841035842896,0.19034938514232635,0.7243065237998962,0.4983038604259491
11,0.10578002035617828,0.7926129102706909,0.4986301064491272,0.1900644749403,0.7198043465614319,0.4983038604259491
12,0.10750993341207504,0.787102222442627,0.49866554141044617,0.1891901046037674,0.716001033782959,0.4983038604259491
13,0.09984692931175232,0.7898502945899963,0.498742014169693,0.18662509322166443,0.7147787809371948,0.4983038604259491
14,0.09937519580125809,0.7870367765426636,0.49874261021614075,0.19083091616630554,0.7088541984558105,0.4983038604259491
15,0.0940849557518959,0.7881765365600586,0.49875882267951965,0.18767133355140686,0.7069843411445618,0.4983038604259491
16,0.09178686887025833,0.7871811985969543,0.49879682064056396,0.18938547372817993,0.7027294039726257,0.4983038604259491
17,0.09613288193941116,0.7810207009315491,0.4987812936306,0.1920091211795807,0.6994489431381226,0.4983038604259491
18,0.09254449605941772,0.7818310260772705,0.4989100396633148,0.19122658669948578,0.6969922184944153,0.4983038604259491
19,0.09100200980901718,0.7810126543045044,0.4989209771156311,0.18933837115764618,0.6958792805671692,0.4983038604259491
20,0.0908786952495575,0.7791461944580078,0.4989267587661743,0.1906052529811859,0.6942975521087646,0.4983038604259491
21,0.0902738943696022,0.7780649662017822,0.498950332403183,0.19382517039775848,0.6897962689399719,0.4983038604259491
22,0.08222141861915588,0.7835296988487244,0.4990500211715698,0.19473010301589966,0.687576174736023,0.4983038604259491
23,0.08824288845062256,0.7771869897842407,0.4990251958370209,0.19059212505817413,0.6888598799705505,0.4983038604259491
24,0.08324068039655685,0.7803972363471985,0.4990462362766266,0.18604286015033722,0.6915409564971924,0.4983038604259491
25,0.08106715977191925,0.7811018228530884,0.499106228351593,0.1865396946668625,0.6901978254318237,0.4983038604259491
26,0.07517023384571075,0.7850281596183777,0.4991127848625183,0.18990355730056763,0.686127245426178,0.4983038604259491
27,0.0811910480260849,0.7790644764900208,0.4991200268268585,0.18906332552433014,0.6853889226913452,0.4983038604259491
28,0.08034072071313858,0.7789266705513,0.49908995628356934,0.1937403529882431,0.6814447045326233,0.4983038604259491
29,0.08431924134492874,0.7747907638549805,0.49907198548316956,0.19278281927108765,0.6822450160980225,0.4983038604259491
30,0.08582864701747894,0.7730624675750732,0.49906590580940247,0.19287054240703583,0.6814277768135071,0.4983038604259491
31,0.07966720312833786,0.7776907086372375,0.49910905957221985,0.19158896803855896,0.6823400259017944,0.4983038604259491
32,0.0834173709154129,0.7739461064338684,0.4991001784801483,0.1899692267179489,0.6832296252250671,0.4983038604259491
33,0.08440050482749939,0.7727077007293701,0.4990699291229248,0.18757720291614532,0.6841917037963867,0.4983038604259491
34,0.08113834261894226,0.7750400900840759,0.49901822209358215,0.1920025646686554,0.6804748177528381,0.4983038604259491
35,0.08270538598299026,0.7734302282333374,0.4990957975387573,0.19188395142555237,0.680314838886261,0.4983038604259491
36,0.07964028418064117,0.7759250402450562,0.49911972880363464,0.19453105330467224,0.6782682538032532,0.4983038604259491
37,0.07719678431749344,0.77781742811203,0.4991171061992645,0.19331690669059753,0.6784536838531494,0.4983038604259491
38,0.08613929897546768,0.7699878215789795,0.4989827871322632,0.19386346638202667,0.6790542602539062,0.4983038604259491
39,0.08519777655601501,0.7708748579025269,0.4990784823894501,0.19447731971740723,0.6776419281959534,0.4983038604259491
40,0.0842089131474495,0.7704851031303406,0.49895986914634705,0.19463682174682617,0.6760197877883911,0.4983038604259491
41,0.0746556743979454,0.7768998742103577,0.4990682005882263,0.19637995958328247,0.673234224319458,0.4983038604259491
42,0.07459976524114609,0.7751707434654236,0.499062716960907,0.1926698088645935,0.6740182638168335,0.4983038604259491
43,0.08217348903417587,0.7674131989479065,0.4990057945251465,0.184532031416893,0.6766768097877502,0.4983038604259491
44,0.09064128994941711,0.7586861252784729,0.49917280673980713,0.19736897945404053,0.6657625436782837,0.4983137547969818
45,0.11634280532598495,0.7353058457374573,0.5000448822975159,0.30824393033981323,0.5600030422210693,0.498348206281662
46,0.1723121553659439,0.6845378279685974,0.5008209943771362,0.356317400932312,0.5188307762145996,0.5349313020706177
47,0.2088194638490677,0.6528711915016174,0.507662296295166,0.3852112293243408,0.5108252763748169,0.6507320404052734
48,0.23591607809066772,0.630733847618103,0.5179052948951721,0.44248032569885254,0.4592263102531433,0.6709423661231995
49,0.25171491503715515,0.6165847778320312,0.5287845730781555,0.4580722153186798,0.44554102420806885,0.683948814868927
50,0.25416678190231323,0.6151968836784363,0.5404528975486755,0.4676692485809326,0.43574634194374084,0.6853658556938171
51,0.2513772249221802,0.6179102063179016,0.5463759899139404,0.4377232789993286,0.4661381244659424,0.6850215792655945
52,0.25549983978271484,0.6144806146621704,0.5585196018218994,0.4880591928958893,0.4187454581260681,0.6937916874885559
53,0.27439770102500916,0.5979265570640564,0.5683736205101013,0.48430314660072327,0.422780305147171,0.6939983367919922
54,0.2883414328098297,0.5863785147666931,0.5777460336685181,0.4878540337085724,0.421926885843277,0.7054815888404846
55,0.31004825234413147,0.567735493183136,0.5968904495239258,0.4914534389972687,0.4173828363418579,0.7073202729225159
56,0.3045383095741272,0.5722238421440125,0.6009805798530579,0.5159153342247009,0.39564087986946106,0.7120699882507324
57,0.30004405975341797,0.5756329298019409,0.5995421409606934,0.4935111105442047,0.4161366820335388,0.7049556970596313
