epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_micro
0,0.01960405334830284,1.6083060503005981,0.011321314610540867,0.0124234660540059,0.013142544202963851,0.012479369785447768
1,0.015657702460885048,1.5171949863433838,0.008134306408464909,0.012795957888080961,0.01314222380464594,0.012851244505489566
2,0.008824460208415985,1.4432425498962402,0.004675382282584906,0.012641040842732052,0.013142226855984809,0.012702989710729697
3,0.007249239832162857,1.3794052600860596,0.003665694035589695,0.012583049670956392,0.013142412830077286,0.01265018661809888
4,0.01341076847165823,1.3172816038131714,0.007129120174795389,0.012823611093866259,0.013148680498062573,0.012898140988913459
5,0.009420356713235378,1.272201657295227,0.004237659741193056,0.013293571949453359,0.008827615335497573,0.013378873629981988
6,0.014653593301773071,1.2233445644378662,0.006539177615195513,0.013131079278359903,0.0041020672676706366,0.013219196385066098
7,0.015302996151149273,1.1853210926055908,0.008093688637018204,0.013214591194730044,0.002075960341376946,0.013310325268050203
8,0.012581532821059227,1.1529854536056519,0.004735294263809919,0.013196696736816574,0.0005251532242484505,0.013301775795989797
9,0.014232627116143703,1.1232107877731323,0.006422865204513073,0.013193844015244545,0.00014798148954122604,0.013307926325178562
10,0.015872495248913765,1.0954331159591675,0.0032353296410292387,0.013163495302131864,8.006350072894107e-12,0.013285786410381164
11,0.011701039969921112,1.0762617588043213,0.00262014614418149,0.013132732258283132,2.8245767703934122e-11,0.013268836043768623
12,0.012235348112881184,1.0549321174621582,0.002290467033162713,0.013067695211428887,3.0741373182141196e-11,0.013215230695083844
13,0.010502119548618793,1.0383485555648804,0.011029910296201706,0.012940139780753243,3.1706458228702544e-11,0.013101737638012938
14,0.013311924412846565,1.0237611532211304,0.0029397637117654085,0.012850593259851065,3.172516460251012e-11,0.013022278244700468
15,0.015074731782078743,1.0091029405593872,0.021997738629579544,0.012783584182098332,3.228264569279201e-11,0.012961688425123529
16,0.007569170091301203,0.9995596408843994,0.0008193974499590695,0.012672703697906086,3.2670341810885004e-11,0.012867840778494363
17,0.021192429587244987,0.9816710948944092,0.005433582700788975,0.012567304505576742,3.2683736568757164e-11,0.012772022170221222
18,0.012023399583995342,0.9779518842697144,0.002327198162674904,0.012490597477808424,3.26854118380613e-11,0.012708287077072469
19,0.010266975499689579,0.9707603454589844,0.011310386471450329,0.012468132666800738,3.2687087312958916e-11,0.01269732548275228
20,0.011256544850766659,0.9607449173927307,0.03762783110141754,0.012410599139768039,3.2687087312958916e-11,0.012647459969982025
21,0.010881799273192883,0.9580585956573486,0.010416901670396328,0.012368753939776564,3.2687087312958916e-11,0.012612913195377783
22,0.009768061339855194,0.9507737755775452,0.012193717993795872,0.012323223902446563,3.2687087312958916e-11,0.012578714264285681
23,0.008641117252409458,0.944570004940033,0.01883235201239586,0.012248063876503365,3.2687087312958916e-11,0.012509395804103542
24,0.013459424488246441,0.9376262426376343,0.012093080207705498,0.01216977179695891,3.2687087312958916e-11,0.012436200669050705
25,0.009981323033571243,0.9346442222595215,0.03870144858956337,0.012151765087277779,3.2687087312958916e-11,0.012423112446116555
26,0.0102554215118289,0.9312248229980469,0.0011049517197534442,0.012131910912046732,3.2687087312958916e-11,0.012409479208538493
27,0.011526633985340595,0.9265304803848267,0.01095617190003395,0.012127467523703478,3.2687087312958916e-11,0.01240970030067812
28,0.011303473263978958,0.9234520196914673,0.011780393309891224,0.012097734254302576,3.2687087312958916e-11,0.01238823574695161
29,0.011793076992034912,0.9193522334098816,0.03056011162698269,0.012079834837647026,3.2687087312958916e-11,0.012376178319524828
