epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_hard_thr_0p30,val_whole_dice_hard_thr_0p40,val_whole_dice_hard_thr_0p50,val_whole_dice_hard_thr_0p60,val_whole_dice_hard_thr_0p70,val_whole_dice_micro
0,0.0006990406545810401,1.220754861831665,0.024750003591179848,0.0006440652129419866,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0009630791754641849
1,0.0014603083254769444,1.1573936939239502,0.03200000151991844,0.0018981331824128617,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0030914085847971798
2,0.0021152959670871496,1.132611870765686,0.02850000560283661,0.003894041939049191,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.006370288904566544
3,0.0033291238360106945,1.106789231300354,0.020500004291534424,0.003924845875177232,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.006410259505558549
4,0.003423609770834446,1.0893645286560059,0.02225000411272049,0.006363520061753756,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.01036248105934192
5,0.004154405556619167,1.087350606918335,0.021000003442168236,0.005946776951462562,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.0096472012514409
6,0.005655964836478233,1.0914733409881592,0.018250001594424248,0.00841537544165316,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.013560172580053634
7,0.006953893695026636,1.0978163480758667,0.014750001952052116,0.008942737175618666,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.014333643177543477
8,0.007807163055986166,1.1012734174728394,0.014500001445412636,0.008820893479415344,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.01410058247146298
9,0.01030794158577919,1.099432110786438,0.01425000187009573,0.011540902241148348,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.01836289558146913
10,0.010140331462025642,1.0942788124084473,0.010250002145767212,0.013570136301514824,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.02118735334606952
11,0.012117267586290836,1.0957306623458862,0.01575000025331974,0.01461373054233322,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.023669874469629145
12,0.01120094396173954,1.0762596130371094,0.014000002294778824,0.013604323768361055,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.02562776908154795
13,0.02608005702495575,1.0552352666854858,0.01175000425428152,0.019907660056718863,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.04332423168831039
14,0.04582914710044861,1.0398379564285278,0.01000000350177288,0.04266575172450278,8.20536345900904e-10,0.04552289007360224,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.10358234216906555
15,0.0681072548031807,1.018330693244934,0.016705533489584923,0.053410351743168466,0.021830574495488322,0.055264679300392715,0.04871468046351837,0.021830574495488322,8.20536345900904e-10,8.20536345900904e-10,0.13792613027674105
16,0.09729152917861938,0.9895627498626709,0.08086632937192917,0.0472328617252177,0.03616667449296299,0.04649690017919251,0.040809387162558726,0.03616667449296299,0.027782003586742796,8.20536345900904e-10,0.12355444913575747
17,0.13060559332370758,0.9667684435844421,0.1019170805811882,0.09959833688322779,0.08069291168000128,0.09233054281256373,0.08562948410776726,0.08069291168000128,0.07442526455436846,0.062322575885054916,0.24323089451299867
18,0.17475064098834991,0.92116779088974,0.13156171143054962,0.09024847475725727,0.06744711682825678,0.07489966378489084,0.07276953422220317,0.06744711682825678,0.0643072493399118,0.0597786401290199,0.1931400273424335
19,0.20811806619167328,0.879960298538208,0.15150058269500732,0.09564725470587519,0.06631544145436347,0.07429856456067035,0.07162762276272693,0.06631544145436347,0.06265410233824965,0.05783897260661182,0.23168040030239487
20,0.24973313510417938,0.8430637121200562,0.17720098793506622,0.11286764384995238,0.08023193302575926,0.08778091151081673,0.08605163771077128,0.08023193302575926,0.07745058880157658,0.07472891955124573,0.2330481395543017
21,0.26989904046058655,0.8174263834953308,0.19261534512043,0.10794475024182412,0.07045177643317256,0.07817097322472862,0.07579058098116159,0.07045177643317256,0.06768543366365744,0.06448316218554512,0.248372990972438
22,0.2982640266418457,0.7915406227111816,0.21199847757816315,0.11261945622458948,0.08121083486505393,0.09042118880998075,0.08801652913332672,0.08121083486505393,0.07825788767408581,0.0751800664550752,0.21224801596343787
23,0.3122040927410126,0.7775464057922363,0.22275756299495697,0.09958233056212656,0.06990654248017347,0.0779194061437284,0.07572184516664461,0.06990654248017347,0.06740919571501611,0.0650159983615628,0.18319592065818874
24,0.3224782645702362,0.7601044774055481,0.2299441546201706,0.13252491484203544,0.08837998097309255,0.09765611147330665,0.09530898346946702,0.08837998097309255,0.08478335414086434,0.08058721065369323,0.29429200245181825
25,0.32451778650283813,0.7581905722618103,0.23235531151294708,0.1293579299604219,0.08807923171164106,0.09758989213287768,0.09500545662524865,0.08807923171164106,0.08448884229177299,0.08054009597023662,0.26850567564211925
