epoch,dice_coefficient,foreground_fraction,hard_dice_metric,loss,val_dice_coefficient,val_foreground_fraction,val_hard_dice_metric,val_loss,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_soft_macro
0,0.013444471172988415,0.1055665984749794,0.23341020941734314,0.8931363224983215,0.025471163913607597,0.07335002720355988,0.25595834851264954,0.8367311954498291,0.04412841403912656,0.8,0.1275224613864973,0.029250019781028282
1,0.017968475818634033,0.03830057010054588,0.3576872646808624,0.7995178699493408,0.03977424278855324,0.022516008466482162,0.48064425587654114,0.7663165926933289,0.10604598452372391,0.8,0.2346067344027575,0.05079547317035922
2,0.024374356493353844,0.03331037238240242,0.384202241897583,0.7626646757125854,0.04299875721335411,0.03519109636545181,0.40067028999328613,0.736813485622406,0.08174511959468354,0.8,0.186166284294179,0.0650385809158604
3,0.028669217601418495,0.02669456973671913,0.4083968997001648,0.7360187768936157,0.038779739290475845,0.048759330064058304,0.3365781903266907,0.7474223971366882,0.06948553935291878,0.8,0.13896287260147858,0.06592020444606687
4,0.034003809094429016,0.022564148530364037,0.41104230284690857,0.7184709310531616,0.05300072580575943,0.017742769792675972,0.4949122965335846,0.7164795994758606,0.1261702922942744,0.8,0.24366685172071548,0.09970266678068894
5,0.03380414471030235,0.022087449207901955,0.4184756875038147,0.712485671043396,0.056048713624477386,0.018676219508051872,0.4782576560974121,0.7168986797332764,0.12495413070818226,0.8,0.23713437025875211,0.1088666276776258
6,0.035067301243543625,0.01987992599606514,0.42969024181365967,0.7087603211402893,0.06169501692056656,0.013769414275884628,0.46331432461738586,0.7043145298957825,0.14747487065939735,0.8,0.26088314611792324,0.11518604250788006
7,0.03941785544157028,0.018103046342730522,0.43886131048202515,0.6982316970825195,0.06431296467781067,0.015454587526619434,0.4625149071216583,0.7088184356689453,0.14695474981541018,0.8,0.24038498652598084,0.12652179542397057
8,0.036883700639009476,0.016944443807005882,0.43445339798927307,0.7009828686714172,0.060090042650699615,0.019715936854481697,0.3980262577533722,0.6912014484405518,0.1277146821943769,0.8,0.2261571653500649,0.11373294769399826
9,0.03954888507723808,0.015913352370262146,0.4609679877758026,0.6823705434799194,0.06331764161586761,0.02112121507525444,0.4973599314689636,0.7009754776954651,0.13030106528903398,0.8,0.21974149843148652,0.12514550126019627
10,0.04011160880327225,0.015444586984813213,0.44649672508239746,0.6855898499488831,0.06313648819923401,0.020191775634884834,0.44215232133865356,0.7053017616271973,0.12656920369781205,0.8,0.21133829656079497,0.12675450856838233
11,0.04615463316440582,0.01624450273811817,0.44295987486839294,0.6806668639183044,0.07228679955005646,0.010847887024283409,0.4901214838027954,0.6991193890571594,0.18215441083761633,0.8,0.2716670274400845,0.15613480558260576
12,0.04046245664358139,0.014377637766301632,0.47035565972328186,0.6819609999656677,0.07425954192876816,0.012099235318601131,0.5941358208656311,0.7056567072868347,0.18337830091262283,0.8,0.24292297174623476,0.16721859616384882
13,0.053794026374816895,0.014569992199540138,0.46541112661361694,0.6712868213653564,0.08006999641656876,0.009194934740662575,0.6314131021499634,0.7062402367591858,0.21989344634490773,0.8,0.2866977445264166,0.18780905921939425
14,0.05117437243461609,0.014189829118549824,0.47759345173835754,0.6694818139076233,0.07581251114606857,0.01337660662829876,0.4972257912158966,0.6939969062805176,0.17532702769273845,0.8,0.25447147309326157,0.16394965523823893
15,0.043198563158512115,0.01321538258343935,0.46918362379074097,0.6772386431694031,0.07063663750886917,0.016096046194434166,0.4655666649341583,0.7038329243659973,0.16229957678206494,0.8,0.2357121814596976,0.1565257049332731
16,0.05523122474551201,0.013718425296247005,0.4787110388278961,0.6667073369026184,0.06254041194915771,0.02753477729856968,0.41887375712394714,0.6958608627319336,0.12240738817682853,0.8,0.18139664873047145,0.1283930651584377
