epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_hard_postproc_delta,val_whole_dice_hard_raw,val_whole_dice_hard_raw_best_thr,val_whole_dice_hard_raw_best_thr_score,val_whole_dice_hard_raw_thr_0p30,val_whole_dice_hard_raw_thr_0p40,val_whole_dice_hard_raw_thr_0p50,val_whole_dice_hard_raw_thr_0p60,val_whole_dice_hard_raw_thr_0p70,val_whole_dice_hard_thr_0p30,val_whole_dice_hard_thr_0p40,val_whole_dice_hard_thr_0p50,val_whole_dice_hard_thr_0p60,val_whole_dice_hard_thr_0p70,val_whole_dice_micro
16,0.18087564408779144,0.9230172038078308,0.13479267060756683,0.09831021593290214,0.07676630790212847,0.3,0.08151135055588149,-0.024787887178050402,0.10155419508017888,0.3,0.10538798939873463,0.10538798939873463,0.10473788473632624,0.10155419508017888,0.09980060288213216,0.09807071249694306,0.08151135055588149,0.08035640415283894,0.07676630790212847,0.07463486006123761,0.07244414798064519,0.13732448082913254
17,0.19835171103477478,0.9012340307235718,0.14570946991443634,0.09513140719430756,0.07476110964979563,0.3,0.07951928282883935,-0.02174919683681828,0.0965103064866139,0.3,0.10047796452569249,0.10047796452569249,0.0996427103559855,0.0965103064866139,0.09507290063638507,0.09402416655164693,0.07951928282883935,0.07845268897241385,0.07476110964979563,0.07285243316022004,0.07116735265746935,0.12820019398506471
18,0.22936324775218964,0.8735520243644714,0.17109569907188416,0.126147949647694,0.09513634072518672,0.3,0.10180223112977696,-0.03435999830149987,0.12949633902668659,0.3,0.13486763219528441,0.13486763219528441,0.13329690270805214,0.12949633902668659,0.12652520539604978,0.1239962773705028,0.10180223112977696,0.09970859791572796,0.09513634072518672,0.09152839961351956,0.08795443397207753,0.2238466161257176
19,0.23632632195949554,0.8537916541099548,0.1696546971797943,0.130584956366488,0.09992662527474602,0.3,0.10635842439089585,-0.034007808135858825,0.13393443341060485,0.3,0.13886157957934833,0.13886157957934833,0.13775128718261798,0.13393443341060485,0.13133029543569294,0.1296101363993737,0.10635842439089585,0.10477037036445168,0.09992662527474602,0.0967561535474665,0.09417951778090425,0.2450368919963978
20,0.2538067698478699,0.8277288675308228,0.18430174887180328,0.12853525721003312,0.09894986442859666,0.3,0.10500870026350731,-0.03273139782323206,0.13168126225182872,0.3,0.13587247087712398,0.13587247087712398,0.13495753654411238,0.13168126225182872,0.12973555990443553,0.12827730632569476,0.10500870026350731,0.10346267059774354,0.09894986442859666,0.09606648627489783,0.0933173132671624,0.22108114653948446
21,0.25704047083854675,0.8347228169441223,0.18331149220466614,0.1285850902385888,0.08945155959287204,0.3,0.09746032925813833,-0.04158767071472044,0.13103923030759249,0.3,0.13861256199835126,0.13861256199835126,0.13561839767651304,0.13103923030759249,0.12764649901846029,0.12393113393437417,0.09746032925813833,0.0943243072349345,0.08945155959287204,0.08555363274897526,0.0811646991935517,0.2804395080974084
22,0.27019619941711426,0.8219141364097595,0.19197170436382294,0.11127833223054355,0.0839679032621168,0.3,0.08984657464112102,-0.029752777645863107,0.1137206809079799,0.3,0.11899718267976515,0.11899718267976515,0.11745970190224643,0.1137206809079799,0.11119731447749927,0.10871402441318757,0.08984657464112102,0.0881637397751352,0.0839679032621168,0.08106246821160719,0.07786143582347027,0.19714406498723988
23,0.27962279319763184,0.811600923538208,0.19811050593852997,0.11875598905854373,0.08946221318714973,0.3,0.09543027260082387,-0.03119189648511181,0.12065410967226153,0.3,0.12564560348085377,0.12564560348085377,0.12442758398288573,0.12065410967226153,0.11862457418180371,0.11712039741095039,0.09543027260082387,0.09398135335631341,0.08946221318714973,0.08688058693588332,0.0845924789720059,0.2063854727954696
24,0.28451764583587646,0.8037013411521912,0.20338894426822662,0.14221750291935106,0.10845991007012534,0.3,0.11499939552309618,-0.03612336515097889,0.14458327522110423,0.3,0.15040670802379283,0.15040670802379283,0.14791367071248238,0.14458327522110423,0.1417521283249396,0.13875758013124123,0.11499939552309618,0.11240435410641098,0.10845991007012534,0.10511131261860145,0.10141072194985373,0.27399478406263233
25,0.29355528950691223,0.7889237403869629,0.21051208674907684,0.14133546153722681,0.10866100419194188,0.3,0.11374376775820445,-0.03473104026361573,0.14339204445555762,0.3,0.14677269635956866,0.14677269635956866,0.14583576429803194,0.14339204445555762,0.14214759534060287,0.14084728942743086,0.11374376775820445,0.11218781464915989,0.10866100419194188,0.10646905868718956,0.10395036320067792,0.2644526137401081
26,0.3104049563407898,0.756584107875824,0.2222777009010315,0.14466367768607868,0.10695257967175954,0.3,0.11414564865565802,-0.039963324489797294,0.14691590416155684,0.3,0.15281251126683165,0.15281251126683165,0.15031691424450455,0.14691590416155684,0.14472310958512996,0.14206439102207682,0.11414564865565802,0.11117986123878372,0.10695257967175954,0.10399634064734609,0.1004196795548736,0.30085566234323174
27,0.3002926707267761,0.7723404765129089,0.21196144819259644,0.1389336697203136,0.10339021483162812,0.3,0.1113904127316104,-0.03767383713746113,0.14106405196908925,0.3,0.14783213539296844,0.14783213539296844,0.14568169548903998,0.14106405196908925,0.13830347101963644,0.13528448662478051,0.1113904127316104,0.10888537947219037,0.10339021483162812,0.09989254804459305,0.09589012804042425,0.26128980168174537
28,0.32038426399230957,0.7536109685897827,0.22970856726169586,0.14436554613707886,0.10709891304980244,0.3,0.11390978915937731,-0.03969592340291224,0.14679483645271468,0.3,0.1524137338564563,0.1524137338564563,0.15040108437383928,0.14679483645271468,0.14449621892418074,0.141669584810353,0.11390978915937731,0.11145899535250385,0.10709891304980244,0.10394751692367533,0.09995277946994427,0.27981596123216096
29,0.3385345935821533,0.7309868335723877,0.242390438914299,0.14867844826937124,0.11092013805816335,0.3,0.11806309075439488,-0.03990392295241281,0.15082406101057616,0.3,0.15745050048193265,0.15745050048193265,0.15486752920963476,0.15082406101057616,0.14795634475467825,0.1446636898808422,0.11806309075439488,0.11524700508188043,0.11092013805816335,0.1074924484244848,0.10343056514381756,0.2872104443941442
30,0.3555716276168823,0.7137161493301392,0.2595929503440857,0.15804926802509228,0.12289483650437649,0.3,0.12934772742770925,-0.03807751891301922,0.1609723554173957,0.3,0.16629809425340525,0.16629809425340525,0.1642815337510866,0.1609723554173957,0.1586174810894091,0.15580964619588505,0.12934772742770925,0.12683373322593472,0.12289483650437649,0.11978440341417072,0.11605422096311466,0.29256845344591437
31,0.3606547713279724,0.7030295133590698,0.26164764165878296,0.15877082268484824,0.12395955356922048,0.3,0.12836791421142396,-0.03673665149211633,0.1606962050613368,0.3,0.1642903807683324,0.1642903807683324,0.16283313451256579,0.1606962050613368,0.15943866929202355,0.1580154270613454,0.12836791421142396,0.1263965417841492,0.12395955356922048,0.12206867334505667,0.119683733658954,0.3046039617069839
32,0.393405944108963,0.6698399782180786,0.286963552236557,0.15138058754448191,0.11742228440575526,0.3,0.12228072402552742,-0.036433068147612005,0.15385535255336727,0.3,0.15706976878835066,0.15706976878835066,0.15660266937598297,0.15385535255336727,0.15236055910840032,0.1503547724259685,0.12228072402552742,0.12095397278949176,0.11742228440575526,0.11504663368829386,0.11184548126865121,0.2577960896071256
33,0.3798880875110626,0.6901141405105591,0.2775495648384094,0.14709181027460214,0.10859541546797834,0.3,0.11477679004121798,-0.040497431048542906,0.14909284651652124,0.3,0.15421423947072618,0.15421423947072618,0.15232383482238576,0.14909284651652124,0.14682547858943346,0.144301890931021,0.11477679004121798,0.11261615076975841,0.10859541546797834,0.105607265181686,0.10214130665347182,0.2759211352381603
34,0.37850409746170044,0.6893913745880127,0.2776032090187073,0.18162275338960746,0.14123058493696702,0.3,0.1478930513844405,-0.04434571573679169,0.18557630067375872,0.3,0.19051935195724432,0.19051935195724432,0.18873888076992487,0.18557630067375872,0.1831929702656183,0.1800842995997402,0.1478930513844405,0.14529042633288036,0.14123058493696702,0.13782901589779326,0.1335366357302362,0.35680082599034324
35,0.3906691372394562,0.6728600859642029,0.2845277488231659,0.1658812100175852,0.12632831928029156,0.3,0.13544064195581754,-0.04162657961791538,0.16795489889820694,0.3,0.17592056841215784,0.17592056841215784,0.17345533402244256,0.16795489889820694,0.16470734144252933,0.16039306871472297,0.13544064195581754,0.13258808361890548,0.12632831928029156,0.12240756096932694,0.11720213720860771,0.32459885976553726
36,0.4003898799419403,0.6635088920593262,0.294229656457901,0.18674467483950632,0.15004285905185644,0.3,0.1549688047641804,-0.040704890868209165,0.1907477499200656,0.3,0.19394948290517655,0.19394948290517655,0.1931108966360749,0.1907477499200656,0.1885700206912219,0.18622409600739545,0.1549688047641804,0.15311121139423192,0.15004285905185644,0.14709245075206825,0.14368035053247621,0.3592810157973015
37,0.3968709707260132,0.6672712564468384,0.2892676293849945,0.17302263718630737,0.13671327050725363,0.3,0.14161051900119934,-0.04004665792871412,0.17675992843596774,0.3,0.1800143653917511,0.1800143653917511,0.17911224818281737,0.17675992843596774,0.17557731647135766,0.17386810286367327,0.14161051900119934,0.13982291097929214,0.13671327050725363,0.1345158661508352,0.13170722679373167,0.3155265408163731
38,0.41737768054008484,0.646274209022522,0.3072938323020935,0.18442772923119505,0.1483710930065318,0.3,0.15171474786062608,-0.03942050221377441,0.18779159522030622,0.3,0.18929644848244773,0.18929644848244773,0.18906673207607036,0.18779159522030622,0.1867650890794703,0.18641936570623893,0.15171474786062608,0.15068743579926755,0.1483710930065318,0.14633423862966455,0.14466078005804386,0.3448710544451108
39,0.4118799567222595,0.6537827253341675,0.3026828169822693,0.19560091886772746,0.1561840083791595,0.3,0.16077997283154608,-0.044456418990905994,0.2006404273700655,0.3,0.20313900561389736,0.20313900561389736,0.2022380277551936,0.2006404273700655,0.199409738079739,0.19764370590278812,0.16077997283154608,0.15895410291222484,0.1561840083791595,0.15391875343534964,0.15097129667652082,0.39185330839057636
40,0.40444839000701904,0.6609288454055786,0.2999715209007263,0.18639234627186552,0.15067046590505626,0.3,0.15320630466284832,-0.03996082449977195,0.1906312904048282,0.4,0.19159182130445898,0.19132374699048532,0.19159182130445898,0.1906312904048282,0.18958172880304414,0.18838096384221698,0.15320630466284832,0.15258610249178284,0.15067046590505626,0.14868818383754484,0.14626627688862284,0.3397204566787513
41,0.4007714092731476,0.6629579067230225,0.2947719693183899,0.15981726300558066,0.12525341060185205,0.3,0.13061476372620062,-0.03684579826192136,0.1620992088637734,0.3,0.16649217615982329,0.16649217615982329,0.16473358610880917,0.1620992088637734,0.16058526845084053,0.15902027181360492,0.13061476372620062,0.12842928238898157,0.12525341060185205,0.12312333397166579,0.12068888898294272,0.2800851748886431
42,0.4058021306991577,0.652209460735321,0.2960704267024994,0.1705406556982321,0.13509731816201162,0.3,0.138413322523386,-0.03874068965642319,0.1738380078184348,0.3,0.17567595161941646,0.17567595161941646,0.17528780641465258,0.1738380078184348,0.1726267203535701,0.17111322439449955,0.138413322523386,0.13730146541887134,0.13509731816201162,0.13304215210291184,0.1305298424813108,0.289263928447232
43,0.39726459980010986,0.6562264561653137,0.2883431017398834,0.17496404026607026,0.1363036885051204,0.3,0.14328197415671223,-0.04139996485420072,0.17770365335932112,0.3,0.18375948844641776,0.18375948844641776,0.18113164987779304,0.17770365335932112,0.17484419402561077,0.17191651507998318,0.14328197415671223,0.14013158895735833,0.1363036885051204,0.13279513640048324,0.1290414125252399,0.3137578674816705
44,0.4139317572116852,0.6453172564506531,0.3021775484085083,0.17033123752161855,0.13385244751605294,0.3,0.13789993989456903,-0.039193988316472084,0.17304643583252502,0.3,0.17577182891340046,0.17577182891340046,0.1750147405962503,0.17304643583252502,0.1715376860947663,0.16962442766623956,0.13789993989456903,0.13640468888640422,0.13385244751605294,0.13146660465724522,0.12849308377854812,0.29041304699173076
45,0.4281940162181854,0.6301836967468262,0.3139427900314331,0.15886089461176292,0.12349741978912011,0.3,0.12446076528509514,-0.03954563867735687,0.163043058466477,0.7,0.1637177452216089,0.16212153455885858,0.16302002694227047,0.163043058466477,0.16341156749210972,0.1637177452216089,0.12446076528509514,0.12437062979522348,0.12349741978912011,0.12272876233011382,0.12159108179236373,0.2599525501954675
46,0.43050116300582886,0.6262547969818115,0.31838569045066833,0.16002382339824595,0.12280931987837666,0.3,0.1255906919924414,-0.040328076502504126,0.1631373963808808,0.3,0.16453632103481627,0.16453632103481627,0.16421482629218156,0.1631373963808808,0.1625956422556041,0.16194335280976474,0.1255906919924414,0.12452289308388571,0.12280931987837666,0.12138172691057081,0.11958650649234813,0.2583967912563031
