epoch,dice_coefficient,learning_rate,loss,mean_iou,val_dice_coefficient,val_loss,val_mean_iou
0,0.18571016192436218,1.4999999621068127e-05,1.24806547164917,0.497086763381958,0.17143471539020538,1.240325927734375,0.49829980731010437
1,0.22530364990234375,1.4999999621068127e-05,1.14723539352417,0.497314453125,0.19399264454841614,1.172796368598938,0.49829980731010437
2,0.28844356536865234,1.4999999621068127e-05,1.032444953918457,0.4974331557750702,0.36083394289016724,0.9380976557731628,0.49829980731010437
3,0.33583566546440125,1.4999999621068127e-05,0.9595463275909424,0.49769511818885803,0.3903878629207611,0.8950570821762085,0.49829980731010437
4,0.3549503684043884,1.4999999621068127e-05,0.9240540266036987,0.49788913130760193,0.42436426877975464,0.8294259905815125,0.4983023703098297
5,0.35888051986694336,1.4999999621068127e-05,0.9089078903198242,0.49809885025024414,0.439949631690979,0.8220630288124084,0.49829980731010437
6,0.35574325919151306,1.4999999621068127e-05,0.9031100273132324,0.498363196849823,0.4625077247619629,0.780944287776947,0.498299777507782
7,0.36118778586387634,1.4999999621068127e-05,0.8907597661018372,0.4985087215900421,0.4618068337440491,0.7757841348648071,0.498299777507782
8,0.3567237854003906,1.4999999621068127e-05,0.8853586316108704,0.4986349940299988,0.4694017171859741,0.7581775784492493,0.49830755591392517
9,0.36920806765556335,1.4999999621068127e-05,0.8628347516059875,0.4987519383430481,0.46778011322021484,0.7474526166915894,0.49832579493522644
10,0.37934747338294983,1.4999999621068127e-05,0.8407436013221741,0.49883416295051575,0.4676901698112488,0.7478253245353699,0.49836206436157227
11,0.3888337016105652,1.4999999621068127e-05,0.8284162878990173,0.4990542531013489,0.4601263105869293,0.7315641045570374,0.49859917163848877
12,0.39240843057632446,1.4999999621068127e-05,0.8153651356697083,0.49953246116638184,0.491868793964386,0.7048305869102478,0.4990456998348236
13,0.38357043266296387,1.4999999621068127e-05,0.8238317370414734,0.49997928738594055,0.4999474883079529,0.686561644077301,0.5004903674125671
14,0.3830036520957947,1.4999999621068127e-05,0.8194608092308044,0.5022575855255127,0.4791935384273529,0.7031514644622803,0.5033375024795532
15,0.3830069601535797,1.4999999621068127e-05,0.8141363263130188,0.508095383644104,0.4709170460700989,0.6997528672218323,0.5140783786773682
16,0.3785109221935272,1.4999999621068127e-05,0.8163899183273315,0.5280256867408752,0.4671504497528076,0.713238537311554,0.5675187110900879
17,0.37132591009140015,1.4999999621068127e-05,0.8210758566856384,0.5527988076210022,0.48084378242492676,0.7168287634849548,0.6125198602676392
18,0.366443395614624,1.4999999621068127e-05,0.8246350288391113,0.5659265518188477,0.4717320501804352,0.6998243927955627,0.6220381259918213
19,0.3734340965747833,7.499999810534064e-06,0.8118023872375488,0.5756884813308716,0.47742703557014465,0.6894822716712952,0.6238609552383423
20,0.3708774447441101,7.499999810534064e-06,0.8151008486747742,0.5838544368743896,0.4745480716228485,0.6851038336753845,0.6229680776596069
21,0.3877101540565491,7.499999810534064e-06,0.7843401432037354,0.5853192210197449,0.47497865557670593,0.6831872463226318,0.6290709376335144
22,0.3863082528114319,7.499999810534064e-06,0.7871148586273193,0.5956923365592957,0.45759981870651245,0.6933768391609192,0.627884030342102
23,0.39033329486846924,7.499999810534064e-06,0.7797387838363647,0.6021535992622375,0.4778897762298584,0.667030930519104,0.6364810466766357
24,0.37477627396583557,7.499999810534064e-06,0.7992401719093323,0.6002883911132812,0.5026494860649109,0.650632381439209,0.6528810858726501
