epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_micro
0,0.01250833086669445,1.5966678857803345,0.0024837127421051264,0.009649831305905774,3.2683736568757164e-11,0.010210491038783727
1,0.011276377364993095,1.4850879907608032,0.009571890346705914,0.011465148277926449,3.2687087312958916e-11,0.012145894995948005
2,0.018224971368908882,1.4020041227340698,0.010508154518902302,0.01355166434522158,3.2687087312958916e-11,0.014387751750071927
3,0.01928563043475151,1.329748272895813,0.025874553248286247,0.015009120824441958,3.2687087312958916e-11,0.015860231929772293
4,0.0267662201076746,1.2674095630645752,0.04362525790929794,0.017541651948838635,3.2687087312958916e-11,0.018483816407853095
5,0.026810821145772934,1.2161505222320557,0.016856085509061813,0.020187101081612892,3.2687087312958916e-11,0.02138036321057392
6,0.036391813308000565,1.1648104190826416,0.02650492638349533,0.023009137856900775,3.2687087312958916e-11,0.02444221617228752
7,0.030170980840921402,1.1338411569595337,0.02045298181474209,0.024831523378379752,3.2687087312958916e-11,0.026724045914468777
8,0.03963673859834671,1.0951728820800781,0.019166260957717896,0.027628705700918754,3.2687087312958916e-11,0.02951805943702754
9,0.035951338708400726,1.072717308998108,0.03763037547469139,0.03136939111184484,3.2687087312958916e-11,0.033086405923771295
10,0.03656536713242531,1.0472359657287598,0.03600272163748741,0.03389869362336226,3.2687087312958916e-11,0.03566881593919161
11,0.043709155172109604,1.0227664709091187,0.03570215776562691,0.03734453260654213,3.2687087312958916e-11,0.038940842102062494
12,0.05077483132481575,1.0005836486816406,0.021190516650676727,0.038108062228112895,3.2687087312958916e-11,0.03963680539128779
13,0.04805850610136986,0.9879787564277649,0.05607607215642929,0.04076219144395566,3.2687087312958916e-11,0.042418216836428144
14,0.06020541116595268,0.9662385582923889,0.04784600809216499,0.04271752534595722,3.2687087312958916e-11,0.04418848642158212
15,0.05138712748885155,0.9611465334892273,0.055891767144203186,0.04504063155792193,3.2687087312958916e-11,0.0463977357628638
16,0.04975110664963722,0.9513464570045471,0.04321908578276634,0.04640577808239449,3.2687087312958916e-11,0.047780495296400265
17,0.05891863629221916,0.9377973079681396,0.04034658521413803,0.04712949537645399,3.2687087312958916e-11,0.048422351874128876
18,0.045866966247558594,0.9387166500091553,0.03620026260614395,0.047437690272778554,3.2687087312958916e-11,0.04870204670607538
19,0.06947089731693268,0.9151643514633179,0.033944081515073776,0.04808330113225658,3.2687087312958916e-11,0.049244108665886244
20,0.05714098736643791,0.9173963069915771,0.02447129413485527,0.04753730347572314,3.2687087312958916e-11,0.048762888472789256
21,0.0605936273932457,0.9090673923492432,0.02339956723153591,0.04769077681904996,3.2687087312958916e-11,0.048846108188216525
22,0.06613805145025253,0.9006861448287964,0.02813640795648098,0.04822422442605497,3.2687087312958916e-11,0.049340298243923074
23,0.0542050376534462,0.9046919345855713,0.0212468970566988,0.04847353295843378,3.2687087312958916e-11,0.04955185663407629
24,0.06169819459319115,0.8955078125,0.019882243126630783,0.04860489942540352,3.2687087312958916e-11,0.04964530873309229
25,0.0706869512796402,0.8855321407318115,0.025273459032177925,0.04912060484675792,3.2686921995638024e-11,0.05007457012988424
26,0.06822101771831512,0.8857157230377197,0.04424151033163071,0.04916217537639462,3.268510881458417e-11,0.050101144424360075
27,0.058535147458314896,0.8895047307014465,0.03901374340057373,0.04940773764093701,3.266682396465438e-11,0.05030623264331558
28,0.05698125436902046,0.8883796334266663,0.024067839607596397,0.04957838054336733,3.258109120901974e-11,0.05045060734554019
29,0.08568940311670303,0.8663407564163208,0.042755939066410065,0.04970343721710096,1.4686907870474473e-05,0.05056653823594098
