epoch,dice_coefficient,loss,mean_iou,val_dice_coefficient,val_loss,val_mean_iou
0,0.04762323200702667,1.731221079826355,0.4947071671485901,0.04159700497984886,1.729697346687317,0.49859926104545593
1,0.11130668967962265,1.607776403427124,0.49538055062294006,0.054472971707582474,1.701535701751709,0.49859926104545593
2,0.11502155661582947,1.5943034887313843,0.4962138831615448,0.057714443653821945,1.6902836561203003,0.49859926104545593
3,0.11051321774721146,1.5952306985855103,0.4965442717075348,0.06013792008161545,1.6771249771118164,0.49859926104545593
0,0.020986441522836685,1.7335747480392456,0.013408122584223747,0.013361328281462193,1.691562533378601,0.015249255113303661
1,0.06048096343874931,1.6030843257904053,0.06096041575074196,0.031981367617845535,1.6405969858169556,0.028189629316329956
2,nan,nan,0.07411234825849533,nan,nan,8.158805187008511e-09
0,nan,nan,0.0004972002934664488,nan,nan,1.7870450008672378e-08
0,0.05854647979140282,1.8946466445922852,0.03744155168533325,0.058395080268383026,1.8769018650054932,0.033411625772714615
1,0.10919090360403061,1.7629574537277222,0.0705394446849823,0.1127757877111435,1.7417452335357666,0.07306963950395584
2,0.11842180043458939,1.718349575996399,0.07608455419540405,0.12618349492549896,1.6938652992248535,0.08233800530433655
3,0.09704017639160156,1.7300529479980469,0.06212141364812851,0.1332687884569168,1.6646625995635986,0.08504976332187653
4,0.09958972781896591,1.7057805061340332,0.06298208981752396,0.1502874791622162,1.6163928508758545,0.09708759933710098
5,0.092867910861969,1.7010568380355835,0.057294998317956924,0.1489490270614624,1.6018309593200684,0.09501457214355469
6,0.09011171013116837,1.6918132305145264,0.05487610772252083,0.13409385085105896,1.6171975135803223,0.08372507244348526
7,0.09373604506254196,1.6725242137908936,0.057413410395383835,0.14174607396125793,1.589137315750122,0.09067569673061371
8,0.09478413313627243,1.6581008434295654,0.05809269845485687,0.13153403997421265,1.592592477798462,0.08600565791130066
9,0.0874142050743103,1.6588757038116455,0.0539826974272728,0.1383342742919922,1.5710843801498413,0.08831235766410828
10,0.08220715820789337,1.6567240953445435,0.05066270753741264,0.1483188271522522,1.5401132106781006,0.0935145914554596
11,0.07749796658754349,1.654650092124939,0.047447144985198975,0.13555771112442017,1.5508496761322021,0.0871598869562149
12,0.08214469999074936,1.637542724609375,0.04928386211395264,0.1347513347864151,1.5442005395889282,0.08726726472377777
13,0.08860986679792404,1.6182548999786377,0.05320079252123833,0.14900018274784088,1.516446828842163,0.09441600739955902
14,0.07935299724340439,1.62746262550354,0.04756578058004379,0.1475159376859665,1.5115288496017456,0.09297729283571243
0,0.03178213909268379,1.777907371520996,0.02047870308160782,0.05812685564160347,1.6671473979949951,0.036579158157110214
1,0.08433309942483902,1.6095010042190552,0.05728621780872345,0.00021187392121646553,1.7434581518173218,1.7870450008672378e-08
2,0.10172911733388901,1.5699453353881836,0.06656347960233688,0.11638053506612778,1.545588493347168,0.07540697604417801
3,0.10088203847408295,1.5636347532272339,0.06453310698270798,0.12262137234210968,1.5252035856246948,0.08024135231971741
4,0.0942537859082222,1.5693069696426392,0.05951561778783798,0.13309721648693085,1.5054271221160889,0.08511239290237427
5,0.08235952258110046,1.5839685201644897,0.05059782415628433,0.14372140169143677,1.4820294380187988,0.09163732826709747
