epoch,dice_coefficient,foreground_fraction,hard_dice_metric,loss,val_dice_coefficient,val_foreground_fraction,val_hard_dice_metric,val_loss,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_soft_macro
0,0.03680022433400154,0.007012471091002226,0.6092233061790466,0.6325149536132812,0.05760221928358078,0.007719736080616713,0.5980287790298462,0.6884304285049438,0.2768599510423189,0.8,0.3172980258576311,0.2365177132873242
1,0.03422440215945244,0.007325969636440277,0.5412019491195679,0.64271080493927,0.057471081614494324,0.007369475904852152,0.5720478892326355,0.6900951862335205,0.28084836710019223,0.8,0.32088918194627114,0.2350943232232785
2,0.030066154897212982,0.006904801353812218,0.5327361822128296,0.6564942002296448,0.05581865832209587,0.0075893644243478775,0.5383940935134888,0.690014660358429,0.2706830578193654,0.7,0.31382898937899434,0.2199395842586215
3,0.03382176160812378,0.007138838060200214,0.5310660600662231,0.6463039517402649,0.05486324429512024,0.008831535466015339,0.49437326192855835,0.6845971345901489,0.24882708581984897,0.8,0.29573866070899724,0.20867947276073132
4,0.03107234090566635,0.007032062392681837,0.5186588168144226,0.6656901240348816,0.05541609227657318,0.0081745320931077,0.4941920042037964,0.6833111643791199,0.256425420845389,0.8,0.30271306639217055,0.20801878970566698
5,0.0350240021944046,0.007202671375125647,0.5238393545150757,0.6535043716430664,0.05769011005759239,0.006143929436802864,0.5977075695991516,0.6991363167762756,0.28778687604034237,0.7,0.32194984813511124,0.2375832200543455
6,0.031404752284288406,0.0062419697642326355,0.520140528678894,0.6607592105865479,0.05838371813297272,0.00631367415189743,0.5706724524497986,0.6998150944709778,0.28402370137770816,0.7,0.31925069453421,0.2386179225491352
7,0.03649495542049408,0.007978450506925583,0.4975467920303345,0.6618829965591431,0.056535378098487854,0.0068903048522770405,0.4841548502445221,0.6939810514450073,0.2668646402882477,0.8,0.3035843872787004,0.2220876630218659
8,0.03379463776946068,0.00768137676641345,0.4735356867313385,0.6718354821205139,0.0568491630256176,0.005745263770222664,0.5342423915863037,0.7072225213050842,0.27810206539045934,0.65,0.3119828224645551,0.23098894511023774
9,0.03716621175408363,0.008860208094120026,0.45590656995773315,0.6658806204795837,0.056221187114715576,0.0066767227835953236,0.5181851387023926,0.6987366676330566,0.26846921788792016,0.8,0.3053542409055375,0.22520178553847733
10,0.02872094139456749,0.007138324901461601,0.49631455540657043,0.6629914045333862,0.05460923910140991,0.007961844094097614,0.44155919551849365,0.6922577023506165,0.24807437208247868,0.8,0.2885091790353283,0.20578574273019704
11,0.03316417708992958,0.008511913008987904,0.4818660318851471,0.6536777019500732,0.05527293309569359,0.006439524702727795,0.5726223587989807,0.7096483707427979,0.27816754536745053,0.7,0.3095250623001534,0.23404250310002597
