epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.00619443878531456,9.999999747378752e-05,0.6826346516609192,0.0009772413177415729,0.6347554326057434
1,0.007917515002191067,9.999999747378752e-05,0.622212290763855,0.015981459990143776,0.6112356185913086
2,0.008685793727636337,9.999999747378752e-05,0.613004744052887,0.01217137835919857,0.6085408329963684
3,0.013528196141123772,9.999999747378752e-05,0.6064051985740662,0.01904352381825447,0.6020945906639099
4,0.013062010519206524,9.999999747378752e-05,0.6046373248100281,0.014406063593924046,0.6029885411262512
5,0.016106275841593742,9.999999747378752e-05,0.6012622714042664,0.02012280561029911,0.5983369946479797
6,0.01567494310438633,9.999999747378752e-05,0.6003267765045166,0.018472902476787567,0.5996150970458984
7,0.017985517159104347,9.999999747378752e-05,0.5982362627983093,0.01980011910200119,0.5967029929161072
8,0.021416684612631798,9.999999747378752e-05,0.5954121947288513,0.03717194125056267,0.585934042930603
9,0.020783035084605217,9.999999747378752e-05,0.5951797962188721,0.03715328499674797,0.5854725241661072
10,0.02604827657341957,9.999999747378752e-05,0.5915364027023315,0.010583569295704365,0.5996310114860535
11,0.03116748109459877,9.999999747378752e-05,0.5880271196365356,0.04746855050325394,0.5777664184570312
12,0.0371902734041214,9.999999747378752e-05,0.5844518542289734,0.08657845109701157,0.5541343092918396
13,0.038636721670627594,9.999999747378752e-05,0.5829843282699585,0.060814037919044495,0.5693048238754272
14,0.053203340619802475,9.999999747378752e-05,0.5739107131958008,0.08324580639600754,0.5565704703330994
15,0.0704592913389206,9.999999747378752e-05,0.5635849833488464,0.10198339819908142,0.5443500876426697
16,0.08964063227176666,9.999999747378752e-05,0.5517874360084534,0.1345812827348709,0.5246116518974304
17,0.12359810620546341,9.999999747378752e-05,0.5314031839370728,0.13075082004070282,0.5270894169807434
18,0.029454240575432777,9.999999747378752e-05,0.5878399014472961,0.05989992991089821,0.5691580176353455
19,0.13409550487995148,9.999999747378752e-05,0.5249584317207336,0.17674098908901215,0.49921631813049316
20,0.168988436460495,9.999999747378752e-05,0.5040791034698486,0.186587393283844,0.4934793710708618
21,0.18595871329307556,9.999999747378752e-05,0.4939844012260437,0.15689852833747864,0.5113664269447327
22,0.19713638722896576,9.999999747378752e-05,0.4872193932533264,0.2435893565416336,0.4592008888721466
23,0.21009470522403717,9.999999747378752e-05,0.47942137718200684,0.24862143397331238,0.45618361234664917
24,0.22847403585910797,9.999999747378752e-05,0.4684680104255676,0.24247752130031586,0.46041998267173767
25,0.22721435129642487,9.999999747378752e-05,0.46927550435066223,0.29298093914985657,0.42977142333984375
26,0.2382204681634903,9.999999747378752e-05,0.46270930767059326,0.2734055817127228,0.4415138065814972
27,0.24590380489826202,9.999999747378752e-05,0.45817697048187256,0.2393873929977417,0.4620150029659271
28,0.2520489990711212,9.999999747378752e-05,0.45440471172332764,0.21755167841911316,0.47496047616004944
29,0.25192147493362427,9.999999747378752e-05,0.45457106828689575,0.3050746023654938,0.422558069229126
30,0.2537672221660614,9.999999747378752e-05,0.453384667634964,0.29176533222198486,0.430541068315506
31,0.26688718795776367,9.999999747378752e-05,0.44552838802337646,0.32396742701530457,0.41119062900543213
32,0.26594454050064087,9.999999747378752e-05,0.4460703134536743,0.2693932056427002,0.4443104565143585
33,0.27378204464912415,9.999999747378752e-05,0.441403329372406,0.3135574162006378,0.4175087809562683
34,0.27883195877075195,9.999999747378752e-05,0.43840962648391724,0.3192969858646393,0.4141218364238739
35,0.27751654386520386,9.999999747378752e-05,0.4394216239452362,0.3419835567474365,0.4006118178367615
36,0.28226178884506226,9.999999747378752e-05,0.4363962411880493,0.2981299161911011,0.42675650119781494
37,0.27450045943260193,9.999999747378752e-05,0.441049724817276,0.33091387152671814,0.407076358795166
38,0.2915298044681549,9.999999747378752e-05,0.4307222366333008,0.26871463656425476,0.4443354904651642
