epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.022951582446694374,9.999999747378752e-05,0.821723222732544,0.07082843035459518,0.5728055238723755
1,0.028138065710663795,9.999999747378752e-05,0.5158466696739197,0.06664921343326569,0.4591282904148102
2,0.037111423909664154,9.999999747378752e-05,0.45292338728904724,0.0832039937376976,0.42579907178878784
3,0.04141160473227501,9.999999747378752e-05,0.43334558606147766,0.12126467376947403,0.3973781168460846
4,0.043860726058483124,9.999999747378752e-05,0.4228793680667877,0.15459594130516052,0.37636250257492065
5,0.03163699060678482,9.999999747378752e-05,0.42183634638786316,0.07243949919939041,0.4035058915615082
6,0.0416787751019001,9.999999747378752e-05,0.4141405522823334,0.09652294218540192,0.39072152972221375
7,0.034388426691293716,9.999999747378752e-05,0.4133458435535431,0.12753930687904358,0.374678373336792
8,0.05426483601331711,9.999999747378752e-05,0.40297356247901917,0.15526553988456726,0.36243847012519836
9,0.060120049864053726,9.999999747378752e-05,0.39858171343803406,0.17638500034809113,0.35191982984542847
10,0.04575749859213829,9.999999747378752e-05,0.4021765887737274,0.11036104708909988,0.37627917528152466
11,0.04645786061882973,9.999999747378752e-05,0.4001903533935547,0.19093209505081177,0.3435207009315491
12,0.05665156990289688,9.999999747378752e-05,0.39580410718917847,0.11389593780040741,0.37389928102493286
13,0.06067823991179466,9.999999747378752e-05,0.39286479353904724,0.05741361901164055,0.39270228147506714
14,0.0634455531835556,9.999999747378752e-05,0.39018404483795166,0.1125081330537796,0.3726360499858856
15,0.08232028037309647,9.999999747378752e-05,0.38260719180107117,0.22009709477424622,0.327663779258728
16,0.07629915326833725,9.999999747378752e-05,0.383289635181427,0.17468374967575073,0.34589311480522156
17,0.13212911784648895,9.999999747378752e-05,0.36087411642074585,0.34905505180358887,0.27404528856277466
18,0.13261158764362335,9.999999747378752e-05,0.36007314920425415,0.3377704322338104,0.2779182195663452
19,0.1295015513896942,9.999999747378752e-05,0.3606269359588623,0.3596048355102539,0.26882147789001465
20,0.13068848848342896,9.999999747378752e-05,0.3599618971347809,0.3624170124530792,0.2670496106147766
21,0.1430523842573166,9.999999747378752e-05,0.35447946190834045,0.3720186948776245,0.262744277715683
