epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_micro
0,0.019075648859143257,1.6129262447357178,0.01006172876805067,0.014948915679081102,2.128050078631307e-05,0.01511740750114171
1,0.01552000641822815,1.5150476694107056,0.007644441444426775,0.011498008300600672,1.2706656255640856e-11,0.011817945258871261
2,0.02590322494506836,1.4282550811767578,0.010227469727396965,0.01194670918279056,3.16551515024174e-11,0.012355163969268208
3,0.019307035952806473,1.3707821369171143,0.009465000592172146,0.012172838794622916,3.1664465219322464e-11,0.012606781559454716
4,0.024390611797571182,1.306169867515564,0.005802841391414404,0.012471284830009262,3.2056858216136884e-11,0.012952519685578642
5,0.031816497445106506,1.2515723705291748,0.020514650270342827,0.012888313636841465,3.266364935882912e-11,0.013414603637136117
6,0.029630117118358612,1.2102398872375488,0.015093857422471046,0.012853161039727506,3.2666995174550204e-11,0.013362913686925949
7,0.02561485767364502,1.1715161800384521,0.023445947095751762,0.013198289084066858,3.268038664676917e-11,0.013768073491079483
8,0.027766378596425056,1.1373894214630127,0.013680563308298588,0.013643894425356242,3.2683736568757164e-11,0.014240541610540251
9,0.02394869737327099,1.1114364862442017,0.024096598848700523,0.013250269336064366,3.26854118380613e-11,0.013862336888937104
10,0.023977311328053474,1.0852888822555542,0.007590678054839373,0.0132227694182086,3.2687087312958916e-11,0.013900354011446849
11,0.03222372755408287,1.0586239099502563,0.02590792626142502,0.013091715993155085,3.2687087312958916e-11,0.013800376635297493
12,0.030157102271914482,1.0383228063583374,0.04895108565688133,0.014263657875513635,3.2687087312958916e-11,0.014976000356501463
13,0.03101303242146969,1.0202170610427856,0.01580428145825863,0.016238332430904622,3.2687087312958916e-11,0.016953191916790844
14,0.030723152682185173,1.0075581073760986,0.039577994495630264,0.01617743802181029,3.2687087312958916e-11,0.01694183305100448
15,0.026837099343538284,0.9955564141273499,0.01220802590250969,0.016506475348706515,3.2687087312958916e-11,0.01731513969374324
16,0.027563313022255898,0.983672559261322,0.022088361904025078,0.01700299771686004,3.2687087312958916e-11,0.017840021504981627
17,0.030912404879927635,0.9723119139671326,0.00569898309186101,0.016531635976092376,3.2687087312958916e-11,0.017420423669673432
18,0.0402495414018631,0.9562278389930725,0.037835415452718735,0.017775583561372432,3.2687087312958916e-11,0.018663896337862605
19,0.033118072897195816,0.9524133205413818,0.04450114443898201,0.02089097587986115,3.2687087312958916e-11,0.02174550746136847
20,0.027823524549603462,0.9486463069915771,0.043687403202056885,0.022479927497653474,3.2687087312958916e-11,0.02328442537010653
21,0.03614741191267967,0.9382250308990479,0.02414098009467125,0.021375583629442595,3.2687087312958916e-11,0.022040340748320918
22,0.032448552548885345,0.9362478256225586,0.03150775656104088,0.02117891633275233,3.2687087312958916e-11,0.021815876336319047
23,0.038734711706638336,0.9273496270179749,0.029338208958506584,0.020271416033745784,3.2687087312958916e-11,0.02084753632290066
24,0.033945146948099136,0.9270058274269104,0.01471890788525343,0.02112303468067925,3.2687087312958916e-11,0.021767499252212916
25,0.037602439522743225,0.9194988012313843,0.032586272805929184,0.021744224324143042,3.2687087312958916e-11,0.022422799730297607
26,0.030067147687077522,0.921011209487915,0.0382949635386467,0.02287422908384137,3.2687087312958916e-11,0.02361380865896492
27,0.03884800896048546,0.9127150177955627,0.03724873065948486,0.023336054807297266,3.2687087312958916e-11,0.024106794598319006
28,0.04390055313706398,0.9051048159599304,0.015092367306351662,0.023751329925029135,3.2687087312958916e-11,0.024522411750039132
29,0.036786191165447235,0.9083997011184692,0.049122266471385956,0.024903072770311337,3.2687087312958916e-11,0.025748941671280116
