epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_micro
0,0.01266324520111084,1.5937273502349854,0.007725088857114315,0.012676090154957298,3.205046261876744e-11,0.013538960181197114
1,0.01868869923055172,1.475927710533142,0.019512223079800606,0.01226071321557823,3.268038664676917e-11,0.013364220123654518
2,0.01724928244948387,1.39004385471344,0.011020410805940628,0.01528813657457242,3.26854118380613e-11,0.016559595789822735
3,0.020897865295410156,1.3210062980651855,0.02037855237722397,0.015488877195803946,3.26854118380613e-11,0.01677705089395213
4,0.023971928283572197,1.261169672012329,0.014167030341923237,0.016897130547722992,3.26854118380613e-11,0.018250456792115705
5,0.02819972299039364,1.2087756395339966,0.018070371821522713,0.01891985820284995,3.26854118380613e-11,0.02028064503861442
6,0.026319606229662895,1.1715527772903442,0.014397058635950089,0.020594313962416882,3.2687087312958916e-11,0.021944773443087224
7,0.03476029634475708,1.1260627508163452,0.015081411227583885,0.020757673411536292,3.2687087312958916e-11,0.022239965384830224
8,0.03355231136083603,1.0967706441879272,0.021570628508925438,0.026224849593614638,3.2687087312958916e-11,0.027640566563183373
9,0.024552077054977417,1.0779759883880615,0.05463625490665436,0.026238884436282302,3.2687087312958916e-11,0.027616362788918353
10,0.024602066725492477,1.0546704530715942,0.007124445866793394,0.02634949229598987,3.2687087312958916e-11,0.027832386845979412
11,0.03390013054013252,1.0280109643936157,0.031418174505233765,0.031791284136311077,3.2687087312958916e-11,0.0329994697431079
12,0.027141451835632324,1.0170127153396606,0.03292522206902504,0.0329983169988853,3.2687087312958916e-11,0.03416706889656187
13,0.03685932606458664,0.9966198205947876,0.024323688820004463,0.03324210901608186,3.2687087312958916e-11,0.03433142090517218
14,0.03665498271584511,0.9832218885421753,0.0352926142513752,0.034311322770192436,3.2687087312958916e-11,0.03545014883528056
15,0.02439972199499607,0.9804365634918213,0.04903693497180939,0.034286347812161756,3.2687087312958916e-11,0.03576386286224954
16,0.03282871097326279,0.9642748236656189,0.007515283301472664,0.03693177758903662,3.2687087312958916e-11,0.03818178576897691
17,0.035283882170915604,0.9536173343658447,0.022234508767724037,0.03831537704586008,3.2687087312958916e-11,0.039494875562222656
18,0.036596376448869705,0.9456415176391602,0.015359449200332165,0.04020506191388767,3.2687087312958916e-11,0.041407771467066534
19,0.0362466499209404,0.9402231574058533,0.007832705043256283,0.04059028717614621,3.2687087312958916e-11,0.04176320058518995
20,0.046452466398477554,0.9269883632659912,0.022213732823729515,0.043188651568633135,8.486703388325028e-05,0.04415956806288263
21,0.04289120435714722,0.9250072240829468,0.022581379860639572,0.043366994120413054,0.002543997007662309,0.04422303241627183
22,0.05620725080370903,0.9106201529502869,0.022985700517892838,0.045239712320561086,0.0035704551244914074,0.04611678170354254
23,0.05660247430205345,0.907649576663971,0.024821540340781212,0.0457336606305719,0.008882263857508841,0.04656100791543226
24,0.0587846115231514,0.9022395610809326,0.02637544274330139,0.046397835848774355,0.06142099199733828,0.047178996897825586
25,0.05537855252623558,0.9002668857574463,0.026973266154527664,0.04746768771643345,0.0577532796470361,0.04825774047106979
26,0.047287717461586,0.9044557213783264,0.028924666345119476,0.04728410920312768,0.05633783266148933,0.048029880308912073
27,0.051271963864564896,0.8980928659439087,0.022205905988812447,0.04762244083290552,0.05732934261529866,0.04840497488417512
28,0.05585388466715813,0.8933319449424744,0.01958850584924221,0.0479236291913448,0.0577180286396796,0.048726497861047664
29,0.062494684010744095,0.8857611417770386,0.028563061729073524,0.04812870307671443,0.05644694960480592,0.04890466614691788
