epoch,dbl_head_loss,loss,msl_head_loss,probs_dice_coefficient,probs_loss,probs_safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_hard_thr_0p30,val_whole_dice_hard_thr_0p40,val_whole_dice_hard_thr_0p50,val_whole_dice_hard_thr_0p60,val_whole_dice_hard_thr_0p70,val_whole_dice_micro
0,0.330599308013916,1.9375007152557373,0.3099692463874817,0.002557827392593026,1.6952228546142578,0.01627971976995468,0.002579249822845353,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.004155579996032627
1,0.1932995617389679,1.8253560066223145,0.17706818878650665,0.004998066928237677,1.6836515665054321,0.01975000463426113,0.007293522631287982,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.012089755863351263
2,0.17225046455860138,1.7661255598068237,0.14424951374530792,0.010117700323462486,1.6547316312789917,0.019523728638887405,0.02090779546650975,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.03410801022730495
3,0.16574430465698242,1.6478301286697388,0.10871072113513947,0.029875602573156357,1.5494574308395386,0.01698237471282482,0.04756389130921559,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.06504232325039824
4,0.14340756833553314,1.6011508703231812,0.0888606458902359,0.03287254273891449,1.5114259719848633,0.012650913558900356,0.043615909822234726,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.060185659925694766
5,0.1450364738702774,1.5826199054718018,0.08628234267234802,0.038808733224868774,1.4952727556228638,0.010460231453180313,0.04628011873063855,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.06329161021435797
6,0.14438815414905548,1.608038067817688,0.08497855812311172,0.04783859848976135,1.5226242542266846,0.015334106050431728,0.05040499863553904,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.06684314029384575
7,0.14669571816921234,1.632443904876709,0.08612914383411407,0.05389769375324249,1.5479736328125,0.007429135497659445,0.05288025327950659,8.20536345900904e-10,0.0003490482136014495,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.07229171928281079
8,0.13729974627494812,1.5923320055007935,0.0808592364192009,0.060536425560712814,1.5110535621643066,0.00775335356593132,0.05802725147198762,8.20536345900904e-10,0.06760527643624557,1.0553411531657148e-06,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.07852040403633526
9,0.14330825209617615,1.60386061668396,0.08329515159130096,0.0761488601565361,1.522661566734314,0.004013024270534515,0.01237910781871674,8.20536345900904e-10,0.0005593415346625746,4.545392213155751e-05,8.20536345900904e-10,8.20536345900904e-10,8.20536345900904e-10,0.02156701224106149
10,0.1372668743133545,1.5938210487365723,0.0819736197590828,0.080970399081707,1.5141792297363281,0.013327531516551971,0.06338183152713418,0.023858782749677045,0.07108668811722099,0.06430823589773982,0.023858782749677045,8.20536345900904e-10,8.20536345900904e-10,0.10013527080037142
11,0.12978360056877136,1.5664163827896118,0.07719597965478897,0.08688082545995712,1.4889906644821167,0.02702169679105282,0.013920033214332418,0.00024011508746609006,0.006482688749098009,0.003634785662442151,0.00024011508746609006,8.20536345900904e-10,8.20536345900904e-10,0.028710096629586932
12,0.11734641343355179,1.5562355518341064,0.07343869656324387,0.07590730488300323,1.4812856912612915,0.03614257648587227,0.05625166529861949,0.02359564807107741,0.06040298265342393,0.04578818398316547,0.02359564807107741,8.20536345900904e-10,8.20536345900904e-10,0.12058188673278739
13,0.11613497883081436,1.538720965385437,0.07253171503543854,0.08237988501787186,1.4646196365356445,0.03924606367945671,0.06279356600804534,0.02792923529968936,0.07428843535189314,0.057286471371931325,0.02792923529968936,8.20536345900904e-10,8.20536345900904e-10,0.11315605642420773
14,0.1187577024102211,1.511364459991455,0.07235796004533768,0.09614734351634979,1.4373779296875,0.04966997355222702,0.06616695483883056,0.025586564968807513,0.07894170285623789,0.06956958215852184,0.025586564968807513,8.20536345900904e-10,8.20536345900904e-10,0.1041006975016147
15,0.1235133707523346,1.509865164756775,0.07538648694753647,0.1054328978061676,1.4352295398712158,0.05994875729084015,0.06197947512619135,0.02697432260429312,0.05911353934137949,0.04649386333973866,0.02697432260429312,8.20536345900904e-10,8.20536345900904e-10,0.15236445190076287
16,0.11678362637758255,1.4852732419967651,0.07168123126029968,0.10815761983394623,1.4122099876403809,0.07374782115221024,0.06539177165729053,0.0358366731252479,0.06373276305765901,0.05415819755605101,0.0358366731252479,8.20536345900904e-10,8.20536345900904e-10,0.13382040657372063
17,0.10965757071971893,1.4374215602874756,0.0677802637219429,0.1170341894030571,1.3659390211105347,0.08779909461736679,0.08476028660637835,0.05927251463126801,0.09503970830551883,0.08368306549426842,0.05927251463126801,2.1584024656526517e-05,8.20536345900904e-10,0.16267241658644854
18,0.11302131414413452,1.429269790649414,0.06790318340063095,0.12744714319705963,1.3577250242233276,0.10187002271413803,0.08929216093519197,0.07363485067260597,0.09160379160702757,0.08505724635177737,0.07363485067260597,0.031239201082438425,8.20536345900904e-10,0.16474236098547554
19,0.11239520460367203,1.4260907173156738,0.06715266406536102,0.13060741126537323,1.354967474937439,0.10655291378498077,0.09791990383671086,0.08479013983057868,0.10072325969895969,0.09558197272357939,0.08479013983057868,0.05436233673753855,8.20536345900904e-10,0.18710217830907097
20,0.10820955038070679,1.408872365951538,0.06597112864255905,0.13375045359134674,1.3386682271957397,0.10911453515291214,0.0993401569416625,0.09100832715232715,0.10446470378771121,0.09825680085762362,0.09100832715232715,0.0741333383799529,0.01667231965999025,0.1815623444921031
21,0.10622122138738632,1.3999972343444824,0.06373098492622375,0.14095178246498108,1.3305734395980835,0.11517071723937988,0.09115127104554709,0.07655413858210426,0.08747184084364103,0.08242949429530252,0.07655413858210426,0.062186398761291554,0.03522112384324581,0.1753525368710063
22,0.10863593220710754,1.4028691053390503,0.06473706662654877,0.14753800630569458,1.3332912921905518,0.11852970719337463,0.099015430427405,0.07826387564307269,0.09457910671192998,0.0870186454502701,0.07826387564307269,0.06569506480435972,0.04242799144571612,0.20705896025016068
