epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_hard_brainmask,val_whole_dice_hard_brainmask_best_thr,val_whole_dice_hard_brainmask_best_thr_score,val_whole_dice_hard_brainmask_delta,val_whole_dice_hard_brainmask_thr_0p30,val_whole_dice_hard_brainmask_thr_0p40,val_whole_dice_hard_brainmask_thr_0p50,val_whole_dice_hard_brainmask_thr_0p60,val_whole_dice_hard_brainmask_thr_0p70,val_whole_dice_hard_postproc_delta,val_whole_dice_hard_raw,val_whole_dice_hard_raw_best_thr,val_whole_dice_hard_raw_best_thr_score,val_whole_dice_hard_raw_thr_0p30,val_whole_dice_hard_raw_thr_0p40,val_whole_dice_hard_raw_thr_0p50,val_whole_dice_hard_raw_thr_0p60,val_whole_dice_hard_raw_thr_0p70,val_whole_dice_hard_thr_0p30,val_whole_dice_hard_thr_0p40,val_whole_dice_hard_thr_0p50,val_whole_dice_hard_thr_0p60,val_whole_dice_hard_thr_0p70,val_whole_dice_micro
0,0.002278381260111928,1.5585167407989502,0.02935011126101017,0.000960520502929078,8.241063739467733e-10,0.5,8.241063739467733e-10,8.241063739467733e-10,0.3,8.241063739467733e-10,0.0,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0,8.241063739467733e-10,0.5,8.241063739467733e-10,8.013810352636046e-10,8.200865829093016e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.013810352636046e-10,8.200865829093016e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0015762055085633076
1,0.0003842093574348837,1.3322947025299072,0.08203130960464478,0.0006319325170272683,8.241063739467733e-10,0.4,8.241063739467733e-10,8.241063739467733e-10,0.3,8.241063739467733e-10,0.0,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0,8.241063739467733e-10,0.4,8.241063739467733e-10,8.200865829093016e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.200865829093016e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0009856082479615972
2,0.0002558298874646425,1.2627449035644531,0.04687502607703209,0.0004949003979333225,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,0.3,8.241063739467733e-10,0.0,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0007341989776521914
3,0.0002159685391234234,1.231833815574646,0.06250003725290298,0.0004218158536602265,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,0.3,8.241063739467733e-10,0.0,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.000612925363849251
4,0.0002113065420417115,1.2142536640167236,0.1015625149011612,0.00038218717831176805,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,0.3,8.241063739467733e-10,0.0,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0005480950493375682
5,0.00021242481307126582,1.1879169940948486,0.042968783527612686,0.0003636879623195275,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,0.3,8.241063739467733e-10,0.0,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0005184602858446033
6,0.00017569166084285825,1.1746830940246582,0.0625000149011612,0.00033216323250385917,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,0.3,8.241063739467733e-10,0.0,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0004678285618331672
7,0.00018618897593114525,1.1601941585540771,0.03125002980232239,0.00031371600119058286,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,0.3,8.241063739467733e-10,0.0,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0004384050825845306
8,0.00018463781452737749,1.1700928211212158,0.1484375149011612,0.00030021871748808006,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,0.3,8.241063739467733e-10,0.0,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.00041720461926773037
9,0.00016395439160987735,1.1565723419189453,0.13671875,0.00028333784865331834,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,0.3,8.241063739467733e-10,0.0,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.0,8.241063739467733e-10,0.3,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,8.241063739467733e-10,0.00039061292655504155
