epoch,accuracy,dice_coefficient,loss,lr,val_accuracy,val_dice_coefficient,val_loss
0,0.9955509901046753,0.005397033412009478,0.7000634670257568,1e-04,0.9958680272102356,1.0997669441792368e-09,0.7049948573112488
1,0.9961783289909363,7.75653097306872e-10,0.7046197652816772,1e-04,0.9958680272102356,1.1053802317917416e-09,0.7049948573112488
2,0.996178388595581,7.788997224977834e-10,0.7046195268630981,1e-04,0.9958680272102356,1.1132300636873538e-09,0.7049948573112488
3,0.9961783289909363,7.840815219317676e-10,0.7046200633049011,1e-04,0.9958680272102356,1.1233068919480615e-09,0.7049948573112488
4,0.9961783289909363,7.900202714239413e-10,0.7046200633049011,1e-04,0.9958680272102356,1.135804228447057e-09,0.7049948573112488
5,0.9961783289909363,7.969219173453723e-10,0.7046196460723877,1e-04,0.9958680272102356,1.1508005659521814e-09,0.7049948573112488
6,0.996178150177002,8.051645461470969e-10,0.7046201229095459,1e-04,0.9958680272102356,1.1685765688440597e-09,0.7049948573112488
7,0.9961784482002258,8.163317799514402e-10,0.7046204209327698,1e-04,0.9958680272102356,1.1894990548100282e-09,0.7049948573112488
8,0.9961779713630676,8.273314255902164e-10,0.7046197056770325,1e-04,0.9958680272102356,1.2135351612485579e-09,0.7049948573112488
9,0.9961786270141602,8.416185526272102e-10,0.7046200633049011,1e-04,0.9958680272102356,1.2412194605460058e-09,0.7049948573112488
10,0.9961784482002258,8.554149610873196e-10,0.7046200037002563,1e-04,0.9958680272102356,1.2732318532826525e-09,0.7049948573112488
11,0.996178388595581,8.692893072037577e-10,0.7046200037002563,5e-05,0.9958680272102356,1.2912536595521829e-09,0.7049948573112488
12,0.9961783289909363,8.784645233461674e-10,0.704619824886322,5e-05,0.9958680272102356,1.311740382980986e-09,0.7049948573112488
13,0.9961784482002258,8.910069348999627e-10,0.7046201229095459,5e-05,0.9958680272102356,1.3350796024269584e-09,0.7049948573112488
14,0.9961780905723572,9.028227054841409e-10,0.7046197056770325,5e-05,0.9958680272102356,1.3621306305111602e-09,0.7049948573112488
15,0.996178388595581,9.169180414936307e-10,0.704619824886322,5e-05,0.9958680272102356,1.3921901409474913e-09,0.7049948573112488
16,0.9961782097816467,9.345517693049032e-10,0.7046199440956116,5e-05,0.9958680272102356,1.426236906354461e-09,0.7049948573112488
17,0.9961785078048706,9.516774035489561e-10,0.7046200037002563,5e-05,0.9958680272102356,1.4642521639629535e-09,0.7049948573112488
18,0.9961783289909363,9.747245233171498e-10,0.7046199440956116,5e-05,0.9958680272102356,1.5067789238543128e-09,0.7049948573112488
19,0.9961788058280945,9.959024716010845e-10,0.7046202421188354,5e-05,0.9958680272102356,1.5534111774684334e-09,0.7049948573112488
20,0.9961785674095154,1.0199159294899118e-09,0.7046200037002563,5e-05,0.9958680272102356,1.6047013717823688e-09,0.7049948573112488
21,0.9961784482002258,1.0423161223016564e-09,0.7046200037002563,2.5e-05,0.9958680272102356,1.632491808400971e-09,0.7049948573112488
22,0.996178388595581,1.056842058311247e-09,0.7046200037002563,2.5e-05,0.9958680272102356,1.663146620423106e-09,0.7049948573112488
23,0.996178388595581,1.0740842659728855e-09,0.7046201825141907,2.5e-05,0.9958680272102356,1.6962994342506477e-09,0.7049948573112488
24,0.9961783289909363,1.0947245332459943e-09,0.704619824886322,2.5e-05,0.9958680272102356,1.732328835934993e-09,0.7049948573112488
25,0.9961784482002258,1.115751269153975e-09,0.7046200037002563,2.5e-05,0.9958680272102356,1.7707271204869812e-09,0.7049948573112488
26,0.996178388595581,1.1371003028060045e-09,0.704619824886322,2.5e-05,0.9958680272102356,1.8114089117560184e-09,0.7049948573112488
27,0.9961780905723572,1.1608278782659909e-09,0.7046200633049011,2.5e-05,0.9958680272102356,1.8540747825923631e-09,0.7049948573112488
28,0.996178388595581,1.1829407453589624e-09,0.7046201825141907,2.5e-05,0.9958680272102356,1.8983778993231226e-09,0.7049948573112488
29,0.9961779713630676,1.2131579074647902e-09,0.7046200037002563,2.5e-05,0.9958680272102356,1.9449355459499884e-09,0.7049948573112488
30,0.9961780309677124,1.239298219601892e-09,0.704619824886322,2.5e-05,0.9958680272102356,1.992140008511001e-09,0.7049948573112488
