epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.007617759518325329,1.4999999621068127e-05,0.7698907852172852,0.013722377829253674,0.6977468132972717
1,0.01239266712218523,1.4999999621068127e-05,0.6423584818840027,0.020754516124725342,0.589378833770752
2,0.02561868727207184,1.4999999621068127e-05,0.5499142408370972,0.07025551795959473,0.5070584416389465
3,0.028264569118618965,1.4999999621068127e-05,0.5002772212028503,0.12760284543037415,0.45391517877578735
4,0.08009032905101776,1.4999999621068127e-05,0.4567045569419861,0.17088289558887482,0.4198983609676361
5,0.10172399878501892,1.4999999621068127e-05,0.4319509267807007,0.17641185224056244,0.40195491909980774
6,0.10272999852895737,1.4999999621068127e-05,0.4174608588218689,0.18323513865470886,0.3874214291572571
7,0.09028089046478271,1.4999999621068127e-05,0.4093218147754669,0.17740699648857117,0.37796100974082947
8,0.10191410034894943,1.4999999621068127e-05,0.39562392234802246,0.19407936930656433,0.36346423625946045
9,0.11170075088739395,1.4999999621068127e-05,0.38374119997024536,0.19399607181549072,0.35514745116233826
10,0.10474246740341187,1.4999999621068127e-05,0.37799182534217834,0.19325964152812958,0.3480041027069092
11,0.10947804152965546,1.4999999621068127e-05,0.3695511519908905,0.19773487746715546,0.3400733172893524
12,0.10983680188655853,1.4999999621068127e-05,0.3631628453731537,0.19644306600093842,0.3346276879310608
13,0.1151808500289917,1.4999999621068127e-05,0.35609617829322815,0.1972905546426773,0.3291222155094147
14,0.10734017938375473,1.4999999621068127e-05,0.3533347249031067,0.19452430307865143,0.3248847723007202
15,0.08468157052993774,1.4999999621068127e-05,0.3554174304008484,0.19347958266735077,0.32067763805389404
16,0.11370816081762314,7.499999810534064e-06,0.34353598952293396,0.19898782670497894,0.31707125902175903
17,0.09725994616746902,7.499999810534064e-06,0.3463907837867737,0.1991230547428131,0.314897745847702
18,0.11995115131139755,7.499999810534064e-06,0.33759331703186035,0.20029565691947937,0.31260478496551514
19,0.11317718774080276,7.499999810534064e-06,0.33761662244796753,0.2004709541797638,0.3107374906539917
20,0.1074807196855545,7.499999810534064e-06,0.3374698758125305,0.19853739440441132,0.30933091044425964
21,0.10918677598237991,7.499999810534064e-06,0.3351672291755676,0.19605743885040283,0.30827316641807556
22,0.10891401022672653,7.499999810534064e-06,0.3335675001144409,0.19763176143169403,0.3061583340167999
23,0.12165607511997223,7.499999810534064e-06,0.3281620144844055,0.20143146812915802,0.30366021394729614
24,0.12501226365566254,7.499999810534064e-06,0.32566583156585693,0.2002597600221634,0.3024516999721527
25,0.1285952925682068,7.499999810534064e-06,0.323160856962204,0.19893191754817963,0.30149880051612854
26,0.13143563270568848,7.499999810534064e-06,0.32100242376327515,0.2003554403781891,0.29977408051490784
27,0.12305644154548645,7.499999810534064e-06,0.3222375512123108,0.2011832296848297,0.2982015311717987
28,0.12961624562740326,3.749999905267032e-06,0.3192954361438751,0.20234337449073792,0.29732245206832886
29,0.11145473271608353,3.749999905267032e-06,0.3241681158542633,0.20259737968444824,0.2966764271259308
30,0.1321064531803131,3.749999905267032e-06,0.31740033626556396,0.20137718319892883,0.2964414656162262
31,0.13356180489063263,3.749999905267032e-06,0.31639209389686584,0.20136748254299164,0.2958332896232605
32,0.1242571473121643,3.749999905267032e-06,0.31861644983291626,0.20170147716999054,0.29515573382377625
33,0.1262078881263733,3.749999905267032e-06,0.3174012303352356,0.20235835015773773,0.2944173216819763
34,0.12066945433616638,1.874999952633516e-06,0.31868746876716614,0.20193950831890106,0.2942681908607483
35,0.11850547045469284,1.874999952633516e-06,0.31904885172843933,0.2019052803516388,0.2939850389957428
36,0.13014723360538483,1.874999952633516e-06,0.3152858316898346,0.2027539163827896,0.2934836149215698
37,0.11987778544425964,1.874999952633516e-06,0.31811055541038513,0.20274677872657776,0.2932383418083191
38,0.13339316844940186,1.874999952633516e-06,0.31378328800201416,0.20223195850849152,0.2931339144706726
39,0.11185206472873688,1.874999952633516e-06,0.31995588541030884,0.20265918970108032,0.29266664385795593
40,0.11555938422679901,1.874999952633516e-06,0.3186003863811493,0.20325429737567902,0.2922976315021515
41,0.13236220180988312,1.874999952633516e-06,0.313281774520874,0.20327048003673553,0.29202800989151
42,0.12269992381334305,1.874999952633516e-06,0.31593143939971924,0.20352908968925476,0.2916499674320221
43,0.1279180496931076,1.874999952633516e-06,0.31411391496658325,0.20359362661838531,0.2913632392883301
44,0.13664327561855316,1.874999952633516e-06,0.3112228512763977,0.20310141146183014,0.2912706136703491
45,0.13580943644046783,1.874999952633516e-06,0.3111651539802551,0.20316863059997559,0.2909797430038452
46,0.12991094589233398,1.874999952633516e-06,0.31271806359291077,0.2032143920660019,0.29071202874183655
47,0.1399981826543808,9.37499976316758e-07,0.3095042407512665,0.20303107798099518,0.29062387347221375
48,0.12898555397987366,9.37499976316758e-07,0.31267523765563965,0.2032650113105774,0.29044109582901
49,0.12858185172080994,9.37499976316758e-07,0.3126756250858307,0.20304615795612335,0.29037171602249146
50,0.12042875587940216,9.37499976316758e-07,0.3150195777416229,0.2032381147146225,0.2902126908302307
51,0.11639515310525894,4.999999987376214e-07,0.3161378502845764,0.2031785547733307,0.29017534852027893
52,0.141743004322052,4.999999987376214e-07,0.30844682455062866,0.20304974913597107,0.2901190519332886
53,0.12657156586647034,4.999999987376214e-07,0.31295788288116455,0.20329873263835907,0.2899947166442871
54,0.12300419807434082,4.999999987376214e-07,0.31395846605300903,0.20336906611919403,0.2899054288864136
55,0.1251823753118515,4.999999987376214e-07,0.3132419288158417,0.20340371131896973,0.28982800245285034
56,0.1279931515455246,4.999999987376214e-07,0.3123249411582947,0.20357166230678558,0.28972887992858887
57,0.13367801904678345,4.999999987376214e-07,0.31054508686065674,0.2034410983324051,0.2896956205368042
58,0.11801271140575409,4.999999987376214e-07,0.31518810987472534,0.20324574410915375,0.28967052698135376
59,0.1325177550315857,4.999999987376214e-07,0.31074321269989014,0.20319262146949768,0.28961530327796936
60,0.12903937697410583,4.999999987376214e-07,0.3117276430130005,0.20323164761066437,0.2895449101924896
61,0.13015608489513397,4.999999987376214e-07,0.31132772564888,0.2035372406244278,0.2894022762775421
62,0.11810580641031265,4.999999987376214e-07,0.3149007558822632,0.20345424115657806,0.28934934735298157
63,0.12039889395236969,4.999999987376214e-07,0.31414106488227844,0.20364901423454285,0.2892513871192932
64,0.13194596767425537,4.999999987376214e-07,0.31062784790992737,0.20367023348808289,0.28917771577835083
65,0.14308898150920868,4.999999987376214e-07,0.30720436573028564,0.20366033911705017,0.28912195563316345
66,0.13432791829109192,4.999999987376214e-07,0.30979079008102417,0.20375053584575653,0.28903937339782715
67,0.12758749723434448,4.999999987376214e-07,0.3117557764053345,0.20373988151550293,0.2889748513698578
68,0.13713935017585754,4.999999987376214e-07,0.30880481004714966,0.203658327460289,0.28893035650253296
69,0.12982450425624847,4.999999987376214e-07,0.3109329640865326,0.20360015332698822,0.28888455033302307
70,0.13324739038944244,4.999999987376214e-07,0.30986180901527405,0.2037847489118576,0.2887877821922302
71,0.12278856337070465,4.999999987376214e-07,0.31294703483581543,0.20342116057872772,0.28881916403770447
72,0.1188562884926796,4.999999987376214e-07,0.314055860042572,0.2036103457212448,0.288708359003067
73,0.129168301820755,4.999999987376214e-07,0.3109211027622223,0.20404265820980072,0.2885443866252899
74,0.13355901837348938,4.999999987376214e-07,0.3095471262931824,0.20388786494731903,0.2885129153728485
75,0.13408422470092773,4.999999987376214e-07,0.3093128800392151,0.2039029747247696,0.2884388267993927
76,0.12716414034366608,4.999999987376214e-07,0.3113309442996979,0.2037370800971985,0.2884212136268616
77,0.13427625596523285,4.999999987376214e-07,0.30912065505981445,0.20340771973133087,0.2884507179260254
78,0.12737973034381866,4.999999987376214e-07,0.31112349033355713,0.2035048007965088,0.28836145997047424
79,0.1258348673582077,4.999999987376214e-07,0.31154268980026245,0.20357953011989594,0.28828075528144836
80,0.12143833935260773,4.999999987376214e-07,0.31279027462005615,0.20355531573295593,0.2882201075553894
81,0.12495575845241547,4.999999987376214e-07,0.31167978048324585,0.20365311205387115,0.28813672065734863
82,0.13597817718982697,4.999999987376214e-07,0.30830255150794983,0.20329780876636505,0.2881762981414795
83,0.13167469203472137,4.999999987376214e-07,0.30954843759536743,0.20356924831867218,0.2880518436431885
84,0.1277114897966385,4.999999987376214e-07,0.310673326253891,0.20358233153820038,0.28798261284828186
85,0.11403505504131317,4.999999987376214e-07,0.3147207498550415,0.203759104013443,0.28786370158195496
86,0.1428966075181961,4.999999987376214e-07,0.30599215626716614,0.20406900346279144,0.28772762417793274
87,0.140374094247818,4.999999987376214e-07,0.3067055344581604,0.20407189428806305,0.28765740990638733
88,0.12844698131084442,4.999999987376214e-07,0.3102149963378906,0.2040727287530899,0.28760355710983276
89,0.12504909932613373,4.999999987376214e-07,0.31119799613952637,0.20402243733406067,0.28755801916122437
90,0.12850582599639893,4.999999987376214e-07,0.310088187456131,0.20401345193386078,0.2875095307826996
91,0.1203765794634819,4.999999987376214e-07,0.31244999170303345,0.2038041204214096,0.28750520944595337
92,0.1262178272008896,4.999999987376214e-07,0.3106507360935211,0.20387159287929535,0.2874267101287842
93,0.12101282179355621,4.999999987376214e-07,0.3121644854545593,0.20387105643749237,0.28736793994903564
94,0.11820539087057114,4.999999987376214e-07,0.31294798851013184,0.2037917524576187,0.2873328924179077
95,0.12142745405435562,4.999999987376214e-07,0.3119239807128906,0.20379450917243958,0.28726521134376526
96,0.13428179919719696,4.999999987376214e-07,0.3079952895641327,0.2041323184967041,0.28712040185928345
97,0.12518207728862762,4.999999987376214e-07,0.31066983938217163,0.20413485169410706,0.2870570123195648
98,0.13619454205036163,4.999999987376214e-07,0.3073197603225708,0.2045280933380127,0.2868882715702057
