epoch,dice_coefficient,foreground_fraction,hard_dice_metric,loss,val_dice_coefficient,val_foreground_fraction,val_hard_dice_metric,val_loss,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_soft_macro
0,0.029145555570721626,0.00848787184804678,0.5482528209686279,0.648108184337616,0.0371139794588089,0.0038576126098632812,0.527763843536377,0.8472488522529602,0.2449980478874136,0.8,0.2912996495336072,0.19719120427574602
1,0.02847927249968052,0.010595032013952732,0.49786436557769775,0.6563772559165955,0.037204183638095856,0.0037431716918945312,0.5094485282897949,0.8555331230163574,0.24353138466516963,0.8,0.2880992430629214,0.19772596316526728
2,0.02807231806218624,0.010332990437746048,0.5188776850700378,0.6499398946762085,0.036605652421712875,0.003785231849178672,0.5143073201179504,0.8462071418762207,0.2465165647755652,0.8,0.29245835214462423,0.19648269888279463
3,0.02961261384189129,0.009867887943983078,0.5367700457572937,0.6425646543502808,0.03619235008955002,0.004050693940371275,0.5083049535751343,0.8592190146446228,0.2398758603366216,0.8,0.28590313137747586,0.1952906491907966
4,0.025806201621890068,0.0077742463909089565,0.5133851766586304,0.6465932130813599,0.03681831434369087,0.003896039444953203,0.5129187107086182,0.869286835193634,0.24434971220676321,0.8,0.28777870939565936,0.19834365750793703
5,0.02743925340473652,0.0077487933449447155,0.518511176109314,0.6473315358161926,0.0380050390958786,0.0036216164007782936,0.5480015277862549,0.8849077224731445,0.2611517339583933,0.8,0.3021570170255064,0.21191186707069096
6,0.030807849019765854,0.009220384992659092,0.5319064855575562,0.641846776008606,0.0379275418817997,0.003668686607852578,0.5671063661575317,0.8687769174575806,0.27033946293696015,0.8,0.3118519713025684,0.21701958050880032
7,0.03194177895784378,0.00900635588914156,0.5437607765197754,0.6429253220558167,0.037405192852020264,0.003890976309776306,0.5495797395706177,0.8534984588623047,0.2561819628317869,0.8,0.29972295705359714,0.20598695383039775
8,0.02904108352959156,0.007296878378838301,0.5484970211982727,0.6402260661125183,0.037666790187358856,0.0038104511331766844,0.5362393260002136,0.8636642694473267,0.24960394392884153,0.8,0.2921241140391224,0.20385035767709006
9,0.028295844793319702,0.010553012602031231,0.5190574526786804,0.6481642723083496,0.03718247637152672,0.004009958356618881,0.5408821105957031,0.851795494556427,0.2503258521993876,0.8,0.2954054665526996,0.2003738005384596
10,0.031184006482362747,0.012631204910576344,0.532862663269043,0.6472055315971375,0.03759390860795975,0.0037716762162745,0.5573261976242065,0.8612805008888245,0.2600324687293375,0.8,0.3037528353472279,0.20615123418846987
11,0.029758812859654427,0.007845563814043999,0.568509042263031,0.6360685229301453,0.03745989128947258,0.003846539184451103,0.5656753778457642,0.868414044380188,0.2605809356201677,0.8,0.30343381281372517,0.20938577046650603
12,0.02789868228137493,0.00843899417668581,0.5529307126998901,0.6428300738334656,0.03736590966582298,0.003948090597987175,0.5601350665092468,0.8737185597419739,0.2619198812441769,0.8,0.3033963232559989,0.2135537395552027
