epoch,dice_coefficient,loss,safe_binary_iou,val_case_dice_p25,val_case_dice_p50,val_case_dice_p75,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_micro
0,0.015083213336765766,1.587480902671814,0.008466523140668869,0.007560654543340206,0.011336728930473328,0.01909731701016426,0.01399307197875485,0.013385382623489988,0.014057455310826085
1,0.024616267532110214,1.4756540060043335,0.014578131958842278,0.007339540868997574,0.010998878628015518,0.018757786601781845,0.013731925578651159,0.013269895171244087,0.013787469537190372
2,0.021735716611146927,1.3891041278839111,0.010318522341549397,0.00756802037358284,0.011335807852447033,0.019284041598439217,0.014122772512835483,0.013144903863612918,0.014178661075390002
3,0.02575576864182949,1.3126806020736694,0.015472695231437683,0.0071866149082779884,0.010763765312731266,0.018374202772974968,0.0134526230956929,0.013142848951583692,0.013510108122950702
4,0.029825063422322273,1.2481491565704346,0.015138888731598854,0.007256940007209778,0.010867301374673843,0.018532542511820793,0.013570554394387578,0.013142890555859559,0.0136310395251427
5,0.034339092671871185,1.1929532289505005,0.019843244925141335,0.007388785481452942,0.011063102632761002,0.018836461007595062,0.013795796731530932,0.013145917128875154,0.013862407852183959
6,0.02803315967321396,1.156976342201233,0.01840655319392681,0.007513818331062794,0.011249138042330742,0.019122496247291565,0.01400782982378745,0.013278476634979672,0.014081487939496689
7,0.02450200542807579,1.123402714729309,0.012861442752182484,0.007703629322350025,0.011531409807503223,0.01955140195786953,0.014326218110259623,0.044449481975733764,0.014411128994785796
8,0.03270293027162552,1.0885053873062134,0.013010925613343716,0.00802269671112299,0.01200445182621479,0.02026941627264023,0.01485992509639645,0.04706668215906263,0.014961892376006015
9,0.033468279987573624,1.0615299940109253,0.027909772470593452,0.0087169473990798,0.013027998618781567,0.021813889965415,0.016011225613102514,3.2377306538553255e-11,0.016164620201853018
10,0.03344917669892311,1.0380979776382446,0.006967882160097361,0.009600482881069183,0.014329715631902218,0.023747147992253304,0.017455181705987702,3.2687087312958916e-11,0.017683270763854824
11,0.0359121635556221,1.0137468576431274,0.006037595681846142,0.01109521184116602,0.016524964943528175,0.026897195726633072,0.0198199494970345,3.2687087312958916e-11,0.020199635369842435
12,0.03917485848069191,0.995454728603363,0.0399562232196331,0.012511944398283958,0.01860506646335125,0.029803968966007233,0.02200891909590248,3.2687087312958916e-11,0.022559797180215176
13,0.032520536333322525,0.9849962592124939,0.03303389623761177,0.012669813819229603,0.018834594637155533,0.030058322474360466,0.022207226018789605,3.2687087312958916e-11,0.02281351603039947
14,0.03941681236028671,0.9684244990348816,0.03477678447961807,0.013083000667393208,0.019447363913059235,0.030946262180805206,0.02287038730600667,3.2687087312958916e-11,0.023507483395274784
15,0.04183605685830116,0.9544876217842102,0.039025213569402695,0.014869581907987595,0.022091981023550034,0.034842945635318756,0.025777689601484247,3.2687087312958916e-11,0.026552808179900193
16,0.03484218195080757,0.9502386450767517,0.013557964004576206,0.015354652889072895,0.02281864546239376,0.035975247621536255,0.026613718538813055,3.2687087312958916e-11,0.027399980886709783
17,0.03805917873978615,0.9405127167701721,0.0016782173188403249,0.01624758169054985,0.02413017675280571,0.03778323531150818,0.027977151125102795,3.2687087312958916e-11,0.02886725057098805
18,0.045709624886512756,0.9263970851898193,0.04707809165120125,0.017587577924132347,0.026114635169506073,0.040617503225803375,0.03009850787402439,3.2687087312958916e-11,0.031100452343440832
19,0.041107963770627975,0.9251253604888916,0.05279497057199478,0.019108954817056656,0.0283766258507967,0.04389689117670059,0.03254502164684242,3.2687087312958916e-11,0.03365350078863102
20,0.04531703144311905,0.916424036026001,0.053414009511470795,0.02049381099641323,0.030452463775873184,0.0468510165810585,0.03474572919897219,3.2687087312958916e-11,0.03594687567040368
21,0.044989559799432755,0.912286639213562,0.044434163719415665,0.021448075771331787,0.031883884221315384,0.04888146370649338,0.036258399995756946,3.2687087312958916e-11,0.037524736020936256
22,0.05300547182559967,0.9005262851715088,0.03920093551278114,0.022098317742347717,0.032859425991773605,0.05063307285308838,0.037534450778635015,3.2687087312958916e-11,0.038771914548501096
23,0.05679309368133545,0.8961560726165771,0.04201669245958328,0.0224042646586895,0.03330844268202782,0.05158572643995285,0.038223848106214146,3.2687087312958916e-11,0.039431799319481854
24,0.05284925177693367,0.8960144519805908,0.017454968765378,0.022740276530385017,0.03381561487913132,0.052416518330574036,0.03883265861254384,3.2687087312958916e-11,0.04003820511953405
25,0.07010447233915329,0.8793922662734985,0.0761641263961792,0.02381822094321251,0.03545193746685982,0.05472170561552048,0.04054263622527821,3.2687087312958916e-11,0.04180817586696001
26,0.05052763596177101,0.8909891843795776,0.06288230419158936,0.023921756073832512,0.03559951111674309,0.05513016879558563,0.04083478170500592,3.2687087312958916e-11,0.04207262080932827
27,0.051579996943473816,0.8881229162216187,0.030514856800436974,0.02405574917793274,0.0357903353869915,0.055514752864837646,0.04111688784580358,3.2687087312958916e-11,0.04234740554466059
28,0.05489301308989525,0.8834133148193359,0.07040106505155563,0.02439945749938488,0.03631220757961273,0.0562313050031662,0.04164977122306265,3.2687087312958916e-11,0.04290586203698594
29,0.049140214920043945,0.884261429309845,0.08532725274562836,0.02444613352417946,0.036377184092998505,0.05631301924586296,0.04171370743642172,3.2687087312958916e-11,0.04297871170018006
