epoch,dice_coefficient,foreground_fraction,hard_dice_metric,loss,val_dice_coefficient,val_foreground_fraction,val_hard_dice_metric,val_loss,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_soft_macro
0,0.019671397283673286,0.006253617350012064,0.4665820300579071,0.6752421259880066,0.02714536339044571,0.002926221117377281,0.562544584274292,0.8331332802772522,0.22897078431477513,0.8,0.2812326164724311,0.14462194815430188
1,0.01927013136446476,0.008688299916684628,0.44775015115737915,0.6794524192810059,0.026844942942261696,0.002945574466139078,0.540269672870636,0.8358612656593323,0.21725261843714658,0.8,0.26820437312081213,0.140280720383585
2,0.019513266161084175,0.010431419126689434,0.45651522278785706,0.6712884306907654,0.02701426111161709,0.0035138132516294718,0.5039332509040833,0.8171512484550476,0.20683781535399304,0.8,0.26225156189001736,0.13227257336786186
3,0.01902853511273861,0.009557655081152916,0.46241506934165955,0.6678196787834167,0.027468198910355568,0.0032552690245211124,0.5566498041152954,0.8326194286346436,0.22299181656253894,0.8,0.2751822605626707,0.146662332721462
4,0.016959810629487038,0.008145383559167385,0.4812300503253937,0.6669008135795593,0.02850143238902092,0.0030054745730012655,0.5389052629470825,0.8522561192512512,0.22512016249700142,0.8,0.27614066643488505,0.15842489519193556
5,0.017353978008031845,0.00848654005676508,0.46722307801246643,0.6687103509902954,0.028670497238636017,0.003049479564651847,0.55643230676651,0.8593743443489075,0.22842586334152026,0.8,0.2759310945622431,0.16189040133824825
6,0.01971045695245266,0.009595134295523167,0.46993184089660645,0.6656050682067871,0.02810581400990486,0.002998041920363903,0.6009619235992432,0.8471712470054626,0.2401987781691869,0.8,0.2871426324656396,0.15907792940627338
7,0.020853668451309204,0.00970303826034069,0.47467169165611267,0.6660504341125488,0.028617482632398605,0.0030285289976745844,0.5982766151428223,0.8469717502593994,0.24150419609599014,0.8,0.2901487306544201,0.160781278199548
8,0.018759947270154953,0.00798165611922741,0.49320870637893677,0.6647040247917175,0.028712617233395576,0.002987899351865053,0.5754625797271729,0.8536810278892517,0.23494095928324044,0.8,0.28297968317268674,0.16061030170683147
9,0.02020300179719925,0.011598272249102592,0.4731628894805908,0.668186366558075,0.028226317837834358,0.002983956364914775,0.5737983584403992,0.8456493020057678,0.23623394238235934,0.8,0.28742290113944374,0.154553333852329
10,0.021531905978918076,0.013505506329238415,0.4921349883079529,0.6685660481452942,0.02785518579185009,0.0023860251531004906,0.6211102604866028,0.8613852858543396,0.2512368070271891,0.7,0.30030241400592633,0.15941389607112136
11,0.018993033096194267,0.008270938880741596,0.501205563545227,0.6603394150733948,0.028831131756305695,0.0030162071343511343,0.5892113447189331,0.8541620373725891,0.24138419276189663,0.8,0.2919351611622535,0.16434853203562935
12,0.01956971175968647,0.00868917629122734,0.47832968831062317,0.6609891057014465,0.028879141435027122,0.0030275601893663406,0.5815566182136536,0.8598394393920898,0.23860262563325785,0.8,0.2878775260110453,0.16383047039231646
13,0.018911173567175865,0.008318311534821987,0.49143698811531067,0.6549040079116821,0.029661837965250015,0.002993401838466525,0.590424120426178,0.8727295994758606,0.2442165348383215,0.8,0.2916719739111653,0.16768516558857466
14,0.01886058785021305,0.009725467301905155,0.48710447549819946,0.6631768941879272,0.02883390709757805,0.0033136168494820595,0.5782924890518188,0.8481282591819763,0.23530089627163714,0.8,0.28752926940333823,0.1590305662817131
15,0.021493390202522278,0.010974742472171783,0.48628073930740356,0.6657273769378662,0.028775302693247795,0.0030753426253795624,0.6023383140563965,0.85432368516922,0.24712078879657265,0.8,0.29825183943246636,0.16424064612180123
16,0.02028992958366871,0.012931491248309612,0.49233198165893555,0.6633415222167969,0.028404243290424347,0.003032790031284094,0.6027456521987915,0.8499669432640076,0.2473528166581969,0.8,0.29945393270062565,0.15980379845462844
