epoch,dice_coefficient,loss,safe_binary_iou,val_dice_coefficient,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_hard_brainmask,val_whole_dice_hard_brainmask_best_thr,val_whole_dice_hard_brainmask_best_thr_score,val_whole_dice_hard_brainmask_delta,val_whole_dice_hard_brainmask_thr_0p30,val_whole_dice_hard_brainmask_thr_0p40,val_whole_dice_hard_brainmask_thr_0p50,val_whole_dice_hard_brainmask_thr_0p60,val_whole_dice_hard_brainmask_thr_0p70,val_whole_dice_hard_postproc_delta,val_whole_dice_hard_raw,val_whole_dice_hard_raw_best_thr,val_whole_dice_hard_raw_best_thr_score,val_whole_dice_hard_raw_thr_0p30,val_whole_dice_hard_raw_thr_0p40,val_whole_dice_hard_raw_thr_0p50,val_whole_dice_hard_raw_thr_0p60,val_whole_dice_hard_raw_thr_0p70,val_whole_dice_hard_thr_0p30,val_whole_dice_hard_thr_0p40,val_whole_dice_hard_thr_0p50,val_whole_dice_hard_thr_0p60,val_whole_dice_hard_thr_0p70,val_whole_dice_micro
0,0.0002828837023116648,1.269362449645996,0.4609375,0.00013066792052215733,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.00016083964428749117
1,6.865384784759954e-05,1.2043724060058594,0.478515625,7.49745468879668e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.671645918315744e-05
2,4.485349199967459e-05,1.1568167209625244,0.453125,6.439451225440188e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,7.33341071164195e-05
3,3.671176091302186e-05,1.1612746715545654,0.462890625,5.6073179713312404e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,6.306500362346516e-05
4,2.9049884687992744e-05,1.1394546031951904,0.4609375,4.9049117493824366e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,5.460095062262065e-05
5,2.872377444873564e-05,1.1483416557312012,0.431640625,4.389846934431283e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,4.8464707109172995e-05
6,2.415796188870445e-05,1.1211479902267456,0.43359375,4.003814232446833e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,4.391351067599847e-05
7,2.3107586457626894e-05,1.1091291904449463,0.404296875,3.6687653521897964e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,4.000216115467917e-05
8,2.1830230252817273e-05,1.1231693029403687,0.474609375,3.320833890481561e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,3.598349330872469e-05
9,2.4318762370967306e-05,1.1350635290145874,0.41796875,3.1913403913400865e-05,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,0.3,8.241080173729622e-10,0.0,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,0.0,8.241080173729622e-10,0.3,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,8.241080173729622e-10,3.4496895405637713e-05
