epoch,batch,global_step,lr,loss,dice_coefficient,safe_binary_iou
0,0,1,4.999999873689376e-05,149.3379364013672,5.559296187129803e-05,1.2820510164601728e-07
0,1,2,4.999999873689376e-05,134.60562133789062,0.0017709970707073808,2.6678239919419866e-06
0,2,3,4.999999873689376e-05,218.81825256347656,0.001293219975195825,1.7791189748095348e-06
0,3,4,4.999999873689376e-05,165.78860473632812,0.0011675705900415778,1.3348278571356786e-06
0,4,5,4.999999873689376e-05,333.03582763671875,0.0009472487727180123,1.0721047374318005e-06
0,5,6,4.999999873689376e-05,278.9854431152344,0.0007979296497069299,8.948308050094056e-07
0,6,7,4.999999873689376e-05,305.58502197265625,0.000685941253323108,7.670406034776533e-07
0,7,8,4.999999873689376e-05,267.8076171875,0.0011694632703438401,6.715829954373476e-07
0,8,9,4.999999873689376e-05,238.93711853027344,0.0011104631703346968,5.973706151962688e-07
0,9,10,4.999999873689376e-05,215.41091918945312,0.0010965814581140876,5.376476224228099e-07
0,10,11,4.999999873689376e-05,196.13818359375,0.0011099245166406035,4.944566285303154e-07
0,11,12,4.999999873689376e-05,180.0560760498047,0.0010366403730586171,4.5586372721118096e-07
0,12,13,4.999999873689376e-05,166.52146911621094,0.0014355474850162864,4.2117829934795736e-07
0,13,14,4.999999873689376e-05,160.91830444335938,0.0013332307571545243,0.03571467846632004
