epoch,dice_coefficient,foreground_fraction,hard_dice_metric,loss,val_dice_coefficient,val_foreground_fraction,val_hard_dice_metric,val_loss,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_soft_macro
0,0.058714501559734344,0.006075006444007158,0.6635225415229797,0.6098231673240662,0.08171554654836655,0.006730559282004833,0.6280844211578369,0.6734912991523743,0.3145538317640863,0.8,0.3488027630422037,0.2802309256014239
1,0.05250561982393265,0.005297320894896984,0.6397294998168945,0.6239256858825684,0.08209166675806046,0.007139720022678375,0.6383798718452454,0.6651768684387207,0.31786932729664785,0.8,0.35357621380234755,0.2817676978835071
2,0.048660729080438614,0.005490334238857031,0.6209420561790466,0.6345162987709045,0.08293969184160233,0.007069582585245371,0.6019681692123413,0.6581608653068542,0.31280453374550227,0.8,0.35084868636817035,0.26780358238096547
3,0.05470622330904007,0.0054249390959739685,0.6446967124938965,0.623041033744812,0.08234059810638428,0.007698199711740017,0.579067051410675,0.6513972282409668,0.3018040567383894,0.8,0.34150021246361295,0.2616449556457298
4,0.05265723541378975,0.005795214790850878,0.6311696171760559,0.6344345211982727,0.08278633654117584,0.007900836877524853,0.5897607803344727,0.6421679258346558,0.30111260683707014,0.8,0.34412483808411864,0.24945950390754304
5,0.05542563647031784,0.005946487654000521,0.6608392596244812,0.6262840628623962,0.08295062184333801,0.0067569054663181305,0.6337337493896484,0.6605015397071838,0.3217871654830025,0.8,0.35770979005469244,0.28233764635464564
6,0.05331990867853165,0.0053065684624016285,0.6520405411720276,0.6256543397903442,0.08446697890758514,0.007226509973406792,0.6193763017654419,0.6555327773094177,0.314706640418541,0.8,0.351793423379389,0.27607883588424564
7,0.06126323342323303,0.006685205269604921,0.6445209980010986,0.6259793639183044,0.08278682827949524,0.007205666974186897,0.628970742225647,0.6529144048690796,0.3191162569138056,0.8,0.35634750050410036,0.27711480463402055
8,0.0559772364795208,0.006534506566822529,0.6433650255203247,0.6373624801635742,0.08161851763725281,0.006794493645429611,0.613628625869751,0.6548865437507629,0.32144713288129545,0.8,0.35949740673201097,0.27524804883815973
9,0.06305654346942902,0.006547057069838047,0.6212871670722961,0.6276313662528992,0.08150693774223328,0.006631269585341215,0.6573823690414429,0.6560564637184143,0.3324768890209193,0.8,0.37011894233294634,0.28026769267476154
10,0.04728381708264351,0.00548893678933382,0.6521346569061279,0.6360016465187073,0.08241670578718185,0.007327744737267494,0.599015474319458,0.6427000761032104,0.31265639429233144,0.8,0.3544792089586012,0.2581772393823648
11,0.055414412170648575,0.00619248952716589,0.6348505616188049,0.6178355813026428,0.08289400488138199,0.00733014615252614,0.635643720626831,0.65262371301651,0.3211856228631114,0.8,0.36000001010513233,0.2789007518911699
12,0.05232781916856766,0.006187721621245146,0.6426160335540771,0.6215639710426331,0.08177359402179718,0.00705931568518281,0.6255614757537842,0.6562358736991882,0.32027898923302606,0.8,0.35986863504467154,0.2788115710637051
13,0.056583840399980545,0.005934175569564104,0.622427225112915,0.6154106855392456,0.08124314248561859,0.00689050043001771,0.6297581195831299,0.658907949924469,0.3224839613932748,0.8,0.36176642383309393,0.27910803479542934
14,0.06336136162281036,0.0065764933824539185,0.6459512114524841,0.6187521815299988,0.08227936178445816,0.007104923948645592,0.6319620609283447,0.6567095518112183,0.32235726357174205,0.8,0.3612791036517921,0.279258802236021
15,0.062412079423666,0.0060922130942344666,0.662750244140625,0.6184919476509094,0.0817250907421112,0.006873337551951408,0.6266825795173645,0.6585676670074463,0.3233361288311239,0.8,0.3619454946710613,0.2781022641314132
