epoch,dice_coefficient,foreground_fraction,hard_dice_metric,loss,val_dice_coefficient,val_foreground_fraction,val_hard_dice_metric,val_loss,val_whole_dice_hard,val_whole_dice_hard_best_thr,val_whole_dice_hard_best_thr_score,val_whole_dice_soft_macro
0,0.03310561552643776,0.005574620328843594,0.6086613535881042,0.6606971025466919,0.08172407746315002,0.007758616469800472,0.5394752621650696,0.6575554013252258,0.26517966638694684,0.8,0.3026022554805741,0.21635461619534768
1,0.03578699007630348,0.006308180280029774,0.5409682989120483,0.6545336842536926,0.08285404741764069,0.00801947619765997,0.5424242615699768,0.6549586057662964,0.2636970481879716,0.8,0.30088068263821055,0.2174916348405757
2,0.038043227046728134,0.005962012801319361,0.5432021021842957,0.6375938057899475,0.0819915160536766,0.008757987059652805,0.523001492023468,0.6518212556838989,0.254152469840723,0.8,0.29211543062289996,0.211453886028277
3,0.03794696927070618,0.006811860017478466,0.5283557176589966,0.6426656246185303,0.08267547190189362,0.008544806391000748,0.5298278331756592,0.6510226726531982,0.2577076641855849,0.8,0.2966997354077197,0.21386825211247784
4,0.03376339375972748,0.005379656329751015,0.5296779870986938,0.658466637134552,0.08147318661212921,0.009043436497449875,0.5130414962768555,0.6490724086761475,0.2506392931810976,0.8,0.29069525253504497,0.2071595685392963
