epoch,dice_coefficient,loss,lr,val_dice_coefficient,val_loss
0,0.029180509969592094,1.968271255493164,1e-05,0.03257885202765465,1.9276353120803833
1,0.030644653365015984,1.8620351552963257,2e-05,0.032606340944767,1.7946373224258423
2,0.03307138755917549,1.7102301120758057,3e-05,0.03408856689929962,1.6300630569458008
3,0.034346312284469604,1.5439444780349731,4e-05,0.03765716776251793,1.4616142511367798
4,0.03642025217413902,1.3864253759384155,5e-05,0.041011419147253036,1.3132556676864624
5,0.03772661089897156,1.2562357187271118,6e-05,0.05034753680229187,1.1914935111999512
6,0.04322251304984093,1.1592121124267578,7e-05,0.05192416533827782,1.1174167394638062
7,0.05249616876244545,1.0919370651245117,8e-05,0.06723296642303467,1.0568186044692993
8,0.05784737318754196,1.0535908937454224,9e-05,0.06884872168302536,1.0311957597732544
9,0.07069383561611176,1.0208370685577393,1e-04,0.05830710008740425,1.026455283164978
10,0.07833122462034225,1.0022122859954834,1e-04,0.10891798138618469,0.9666936993598938
11,0.09288915246725082,0.9795718193054199,9.999323e-05,0.11950784921646118,0.9513017535209656
12,0.1030317172408104,0.9649443626403809,9.997294e-05,0.14270320534706116,0.9221965670585632
13,0.1178475096821785,0.9445548057556152,9.993911e-05,0.15210717916488647,0.9079036116600037
14,0.132955864071846,0.9256466031074524,9.9891775e-05,0.17043012380599976,0.8867700099945068
15,0.12900279462337494,0.9284817576408386,9.983093e-05,0.195209801197052,0.8611855506896973
16,0.13505133986473083,0.9205741286277771,9.97566e-05,0.18616504967212677,0.8692399859428406
17,0.15015439689159393,0.903749406337738,9.966881e-05,0.20645074546337128,0.8459751009941101
18,0.16681765019893646,0.884742021560669,9.956757e-05,0.25253722071647644,0.7979273200035095
19,0.17052029073238373,0.8795616626739502,9.945292e-05,0.25859493017196655,0.7912654876708984
20,0.17183923721313477,0.8770244717597961,9.932488e-05,0.2608831822872162,0.7871114611625671
21,0.19784700870513916,0.850365936756134,9.9183504e-05,0.31125256419181824,0.7369804382324219
22,0.2138351947069168,0.8340729475021362,9.902881e-05,0.3049534559249878,0.7428047060966492
23,0.20751799643039703,0.8402091264724731,9.886085e-05,0.3393946886062622,0.7079792618751526
24,0.23221714794635773,0.8147461414337158,9.8679666e-05,0.3485461175441742,0.6980483531951904
