epoch,dice_coefficient,loss,lr,val_dice_coefficient,val_loss
0,0.00857866182923317,1.1224113702774048,1e-05,0.007770830765366554,1.1160279512405396
1,0.01486125960946083,1.0959771871566772,2e-05,0.008226999081671238,1.090509295463562
2,0.02053777500987053,1.0648787021636963,3e-05,0.008378787897527218,1.0668259859085083
3,0.032419219613075256,1.0364753007888794,4e-05,0.01909290999174118,1.045058012008667
4,0.05045599117875099,1.0098739862442017,5e-05,0.04098454490303993,1.016103982925415
5,0.06147412210702896,0.9929177165031433,6e-05,0.04661714658141136,1.0053755044937134
6,0.0756274163722992,0.9741175770759583,7e-05,0.055876921862363815,0.9918729662895203
7,0.08470915257930756,0.9612523317337036,8e-05,0.05821883678436279,0.986149787902832
8,0.09582864493131638,0.9471761584281921,9e-05,0.03836354240775108,1.0035985708236694
9,0.10505659133195877,0.9356725215911865,1e-04,0.07615530490875244,0.963517963886261
10,0.1191546767950058,0.9195277094841003,1e-04,0.09479273110628128,0.9429888725280762
11,0.13399958610534668,0.9030879139900208,1e-04,0.11398445814847946,0.9222567677497864
12,0.14728249609470367,0.8882995247840881,1e-04,0.08525507897138596,0.9499031901359558
13,0.1646827757358551,0.8700006604194641,1e-04,0.16202664375305176,0.8720430731773376
14,0.1772163361310959,0.8564218282699585,1e-04,0.13454799354076385,0.8988524079322815
15,0.1838623732328415,0.8501154780387878,1e-04,0.15171922743320465,0.8822706341743469
16,0.19506452977657318,0.8385876417160034,1e-04,0.1594102829694748,0.8741087317466736
17,0.21613410115242004,0.8170555233955383,1e-04,0.21929477155208588,0.8136313557624817
18,0.22994907200336456,0.8027337193489075,1e-04,0.21442870795726776,0.8181334137916565
19,0.24948859214782715,0.7827880382537842,1e-04,0.22681868076324463,0.8051548004150391
20,0.2506876289844513,0.7810354232788086,1e-04,0.25027215480804443,0.7814329266548157
21,0.2810284197330475,0.7505388855934143,1e-04,0.2060394287109375,0.8253621459007263
22,0.28096136450767517,0.750311553478241,1e-04,0.2810388505458832,0.7500481605529785
23,0.30109143257141113,0.7298786640167236,1e-04,0.27464333176612854,0.7561244368553162
24,0.28314587473869324,0.7483475804328918,1e-04,0.24211138486862183,0.7902629375457764
25,0.3271935284137726,0.7052929997444153,1e-04,0.26027488708496094,0.7721614241600037
26,0.32905304431915283,0.7032063603401184,1e-04,0.32223954796791077,0.7098300457000732
27,0.3466580808162689,0.6851891279220581,1e-04,0.3244880735874176,0.7071843147277832
28,0.3541768789291382,0.677620530128479,1e-04,0.35292211174964905,0.6789775490760803
29,0.3616805970668793,0.6700889468193054,1e-04,0.2562752962112427,0.7753742337226868
30,0.37825384736061096,0.653304398059845,1e-04,0.32211706042289734,0.7095487713813782
31,0.3846181631088257,0.6469120979309082,1e-04,0.34445157647132874,0.6869402527809143
32,0.37840548157691956,0.6530647277832031,1e-04,0.24628859758377075,0.7853041291236877
33,0.39721012115478516,0.6344881653785706,1e-04,0.3252476453781128,0.7064606547355652
34,0.43006834387779236,0.601465106010437,1e-04,0.3564527928829193,0.6749208569526672
35,0.41663068532943726,0.6147182583808899,1e-04,0.3361881971359253,0.6952489018440247
36,0.42402562499046326,0.607404887676239,1e-04,0.31712886691093445,0.7143106460571289
37,0.4260844588279724,0.6057968735694885,1e-04,0.34136971831321716,0.6905835270881653
38,0.44693100452423096,0.5851457715034485,1e-04,0.29205000400543213,0.7402353286743164
39,0.4550221562385559,0.5771883130073547,1e-04,0.3970583379268646,0.635019838809967
40,0.45513904094696045,0.5773380398750305,1e-04,0.3764549791812897,0.6561439633369446
41,0.47537654638290405,0.5573806762695312,1e-04,0.32399117946624756,0.7089284062385559
42,0.4854026734828949,0.5473524928092957,1e-04,0.358410120010376,0.6742272973060608
43,0.48357945680618286,0.548913300037384,1e-04,0.3546367585659027,0.6779168248176575
44,0.4969709515571594,0.5355134010314941,1e-04,0.35459327697753906,0.677861213684082
45,0.49457910656929016,0.5379687547683716,1e-04,0.31436672806739807,0.7185922265052795
46,0.4968181848526001,0.5363326072692871,1e-04,0.3837388753890991,0.6493527293205261
47,0.5160854458808899,0.5168701410293579,1e-04,0.4068105220794678,0.6260468363761902
48,0.5299075841903687,0.5028108954429626,1e-04,0.34241509437561035,0.6901784539222717
49,0.5229237675666809,0.509601891040802,1e-04,0.3935043513774872,0.6388988494873047
50,0.5441533327102661,0.4882719814777374,1e-04,0.35676610469818115,0.6758792996406555
51,0.5249119997024536,0.5077259540557861,1e-04,0.41009417176246643,0.6225036382675171
52,0.5382516384124756,0.4944210350513458,1e-04,0.36556124687194824,0.6671220660209656
53,0.5413424372673035,0.4913278818130493,1e-04,0.3501828908920288,0.6826826930046082
54,0.533288836479187,0.4997605085372925,1e-04,0.38128605484962463,0.6517281532287598
55,0.5545080900192261,0.4784119129180908,1e-04,0.40243831276893616,0.6304272413253784
56,0.5493689179420471,0.4834671914577484,1e-04,0.3459915220737457,0.6868392825126648
57,0.5654191970825195,0.467351496219635,1e-04,0.3038722574710846,0.7287368774414062
58,0.5692442059516907,0.4631845951080322,1e-04,0.3864933252334595,0.6457664370536804
59,0.5829166769981384,0.4493529796600342,1e-04,0.371772438287735,0.6605774760246277
60,0.5730366706848145,0.4591749906539917,1e-04,0.3847791254520416,0.6473719477653503
61,0.5764009356498718,0.4557117223739624,1e-04,0.3781155049800873,0.6538806557655334
62,0.5903514623641968,0.4415569305419922,5e-05,0.42784956097602844,0.6039475798606873
63,0.603679895401001,0.4280238151550293,5e-05,0.42592689394950867,0.6056764721870422
64,0.6209597587585449,0.4105314016342163,5e-05,0.42409172654151917,0.6072888374328613
65,0.6109103560447693,0.4204021692276001,5e-05,0.41966310143470764,0.6116116642951965
66,0.6204735040664673,0.41075780987739563,5e-05,0.43066200613975525,0.6004669666290283
