epoch,accuracy,binary_dice_coefficient,dice_coefficient,loss,lr,val_accuracy,val_binary_dice_coefficient,val_dice_coefficient,val_loss
0,0.8879122734069824,0.005272669717669487,0.007809596136212349,0.624682605266571,1.6e-05,0.5497038960456848,0.006654507480561733,0.006465645972639322,0.7012958526611328
1,0.9891365170478821,0.0035136304795742035,0.008502599783241749,0.5769727826118469,1.6e-05,0.9496558308601379,0.0013155825436115265,0.006275461986660957,0.6458972692489624
2,0.9945974946022034,0.06180642545223236,0.012316581793129444,0.5578169822692871,3.2e-05,0.9869453310966492,0.03807061165571213,0.008517623879015446,0.5682021379470825
3,0.9948469996452332,0.1694563925266266,0.02244800515472889,0.540366530418396,4.8e-05,0.9515025615692139,0.04065863415598869,0.01651962473988533,0.5860772132873535
4,0.9950958490371704,0.2068140208721161,0.030419083312153816,0.5269583463668823,6.4e-05,0.9438286423683167,0.07540246844291687,0.02192794345319271,0.600149393081665
5,0.9954524040222168,0.23527666926383972,0.03864428400993347,0.5149354934692383,8e-05,0.9713877439498901,0.1052589863538742,0.031561821699142456,0.5537896156311035
6,0.9957096576690674,0.2698650360107422,0.0469106025993824,0.5043824315071106,7.99583e-05,0.9942699670791626,0.05287766456604004,0.019666017964482307,0.51752108335495
7,0.9958580136299133,0.2749127745628357,0.05460409075021744,0.49541613459587097,7.983328e-05,0.9900017380714417,0.1205645501613617,0.0352344736456871,0.5146387815475464
8,0.9921152591705322,0.2658120393753052,nan,nan,7.96252e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
9,0.9392696619033813,0.08774852007627487,0.05240463465452194,0.522313117980957,7.9334495e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
10,0.9278058409690857,0.077347531914711,nan,nan,7.896178e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
11,0.9217056632041931,0.07310827076435089,nan,nan,7.850782e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
12,0.9169589281082153,0.06971953064203262,0.04798287898302078,0.532427966594696,7.797357e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
13,0.9144778847694397,0.06836068630218506,nan,nan,7.736015e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
14,0.9126192331314087,0.0671171098947525,nan,nan,7.666883e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
15,0.9124759435653687,0.06686530262231827,nan,nan,7.5901065e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
16,0.9121836423873901,0.06592205911874771,0.0408773310482502,0.531424343585968,7.505845e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
17,0.9131532907485962,0.06645354628562927,nan,nan,7.414275e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
18,0.9160638451576233,0.06616909056901932,0.03536922112107277,0.5331535339355469,7.315587e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
19,0.9223394989967346,0.06695423275232315,0.0331730954349041,0.5325987935066223,7.2099865e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
20,0.9297499656677246,0.06722214072942734,0.031339507550001144,0.5317562818527222,7.097696e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
21,0.9377980828285217,0.06891047209501266,nan,nan,6.978948e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
22,0.9471593499183655,0.07045158743858337,nan,nan,6.853991e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
23,0.9546601176261902,0.07051429897546768,0.026993369683623314,0.5293251872062683,6.723087e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
24,0.9585860371589661,0.0695047453045845,nan,nan,6.5865075e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
25,0.9613354206085205,0.06792239844799042,nan,nan,6.444538e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
26,0.9638150334358215,0.06442925333976746,0.022828711196780205,0.5342375636100769,6.297476e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
27,0.9670937061309814,0.062040723860263824,nan,nan,6.145628e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
28,0.9703558683395386,0.06057730317115784,0.020754048600792885,0.5364689826965332,5.9893107e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
29,0.9731296300888062,0.058844637125730515,nan,nan,5.8288508e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
30,0.9719394445419312,0.057753950357437134,0.02004936896264553,0.5375146865844727,5.664583e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
31,0.9679852724075317,0.05328741669654846,0.01975913718342781,0.5403174161911011,5.4968503e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
32,0.9657143354415894,0.04727626591920853,nan,nan,5.326003e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
33,0.9667561054229736,0.04214774817228317,nan,nan,5.152398e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
34,0.9686356782913208,0.036882445216178894,nan,nan,4.9763974e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
35,0.9709024429321289,0.031949982047080994,nan,nan,4.798369e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
36,0.9723434448242188,0.027526145800948143,nan,nan,4.618684e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
37,0.9740332365036011,0.024320580065250397,0.015871983021497726,0.5492360591888428,4.437718e-05,0.9966875910758972,2.7348860953679832e-09,nan,nan
