epoch,accuracy,binary_dice_coefficient,dice_coefficient,loss,lr,val_accuracy,val_binary_dice_coefficient,val_dice_coefficient,val_loss
16,0.9984184503555298,0.5437168478965759,0.4217672049999237,0.1795949637889862,8e-05,0.9970248937606812,0.441802978515625,0.36558401584625244,0.19947461783885956
17,0.9984851479530334,0.5700897574424744,0.453711599111557,0.17004860937595367,8e-05,0.9973079562187195,0.4238613545894623,0.35742542147636414,0.20402318239212036
18,0.9985784292221069,0.5832107663154602,0.4788690507411957,0.16238513588905334,8e-05,0.9978665113449097,0.46730461716651917,0.3952461779117584,0.19256335496902466
19,0.9985384345054626,0.5898086428642273,0.49817460775375366,0.15685424208641052,8e-05,0.9975994825363159,0.4621625244617462,0.4132470190525055,0.1855297088623047
20,0.9985985159873962,0.6073328256607056,0.5238860845565796,0.14905616641044617,8e-05,0.9881926774978638,0.3565475642681122,0.3284420669078827,0.2156836986541748
21,0.9986172318458557,0.6062490940093994,0.5366352796554565,0.14541257917881012,8e-05,0.997864842414856,0.47679784893989563,0.43556705117225647,0.1793057769536972
22,0.9986333250999451,0.625350832939148,0.5619270205497742,0.13771489262580872,8e-05,0.9954096078872681,0.46802327036857605,0.43766164779663086,0.1786099672317505
23,0.9986718893051147,0.6339321136474609,0.5765555500984192,0.1332833170890808,8e-05,0.9972484111785889,0.46595874428749084,0.44254744052886963,0.17812997102737427
24,0.998521089553833,0.6034656167030334,0.5586367249488831,0.13945387303829193,8e-05,0.9938806295394897,0.4073503315448761,0.3932027816772461,0.19378292560577393
25,0.9986048340797424,0.6337119340896606,0.590951144695282,0.12960867583751678,8e-05,0.9978363513946533,0.41986533999443054,0.3989746570587158,0.19393713772296906
26,0.9986916184425354,0.6497554183006287,0.6111668348312378,0.12299437820911407,8e-05,0.9955509305000305,0.4027450978755951,0.38535675406455994,0.19505436718463898
27,0.9987038969993591,0.6575339436531067,0.6243380308151245,0.11885479837656021,8e-05,0.9974552989006042,0.4883054196834564,0.46998730301856995,0.16883420944213867
28,0.9986909627914429,0.6668300628662109,0.6353508234024048,0.11562255769968033,8e-05,0.996338427066803,0.4650243818759918,0.45165693759918213,0.1757388710975647
29,0.9987826347351074,0.6780060529708862,0.6497858762741089,0.11093323677778244,8e-05,0.9979360103607178,0.460072785615921,0.4488321542739868,0.17779159545898438
30,0.9986947774887085,0.6567336320877075,0.6334285736083984,0.11642252653837204,8e-05,0.9968942403793335,0.44438350200653076,0.43483373522758484,0.1795840859413147
31,0.998760461807251,0.6728281378746033,0.6513075828552246,0.11092013120651245,8e-05,0.997498631477356,0.46007370948791504,0.44942378997802734,0.1745457500219345
32,0.9987584948539734,0.6895452737808228,0.6684311032295227,0.10521642863750458,8e-05,0.9941362142562866,0.4299752712249756,0.41968628764152527,0.18502400815486908
33,0.9987851977348328,0.684275209903717,0.6656975150108337,0.10602127760648727,8e-05,0.9974653124809265,0.45771023631095886,0.4504883587360382,0.17616425454616547
34,0.9987978339195251,0.6946027278900146,0.6761905550956726,0.10301443189382553,8e-05,0.9976065158843994,0.4394446909427643,0.43288543820381165,0.18115846812725067
35,0.9988237619400024,0.6990565657615662,0.6815358996391296,0.10106314718723297,8e-05,0.9981039762496948,0.4152577817440033,0.41180872917175293,0.19087950885295868
36,0.9988166689872742,0.6933055520057678,0.678995668888092,0.10213092714548111,8e-05,0.997948169708252,0.40592753887176514,0.39765897393226624,0.19612330198287964
37,0.9988038539886475,0.7075578570365906,0.6932951807975769,0.09773185849189758,8e-05,0.9957985281944275,0.43669143319129944,0.4300762116909027,0.18163597583770752
38,0.9988957643508911,0.7193578481674194,0.7058629393577576,0.09339079260826111,4e-05,0.9979808330535889,0.468388170003891,0.4616628885269165,0.17251701653003693
39,0.9989051222801208,0.7295444011688232,0.7163648009300232,0.09014119952917099,4e-05,0.9972913861274719,0.47362637519836426,0.4669179618358612,0.16976992785930634
