epoch,accuracy,binary_dice_coefficient,dice_coefficient,loss,lr,val_accuracy,val_binary_dice_coefficient,val_dice_coefficient,val_loss
0,0.9509759545326233,0.04469424486160278,0.013851023279130459,0.3105447292327881,8e-05,0.007515293546020985,0.007399760652333498,0.008138648234307766,0.5765283703804016
1,0.9854780435562134,0.1714097261428833,0.04266413673758507,0.2965836226940155,8e-05,0.29522278904914856,0.009947805665433407,0.009585090912878513,0.8015182614326477
2,0.9897212982177734,0.20278656482696533,0.06824441254138947,0.2881350815296173,8e-05,0.6489530801773071,0.0215358454734087,0.018392615020275116,0.5492637753486633
3,0.9925326108932495,0.23978553712368011,0.09300938993692398,0.2800161838531494,8e-05,0.8040456771850586,0.040389250963926315,0.03481452912092209,0.46748077869415283
4,0.994408369064331,0.2723391354084015,0.1173572987318039,0.2722623944282532,8e-05,0.9360390305519104,0.2341737151145935,0.10258517414331436,0.3249664008617401
5,0.994970977306366,0.29595863819122314,0.13917091488838196,0.26558953523635864,8e-05,0.99129718542099,0.29530254006385803,0.13028991222381592,0.2719189524650574
6,0.9955975413322449,0.3227371573448181,0.16367851197719574,0.25797832012176514,8e-05,0.9309363961219788,0.1572781652212143,0.11426308006048203,0.3247167468070984
7,0.9968949556350708,0.36049050092697144,0.19256235659122467,0.24892225861549377,8e-05,0.9535877108573914,0.16110987961292267,0.1268746256828308,0.2966114580631256
8,0.9969964623451233,0.3785199224948883,0.2164440155029297,0.24173390865325928,8e-05,0.9558991193771362,0.22261643409729004,0.15909135341644287,0.2852015495300293
9,0.9973357915878296,0.3983249366283417,0.24034875631332397,0.2346317619085312,8e-05,0.9836962819099426,0.3441828787326813,0.23194585740566254,0.24720041453838348
10,0.9975245594978333,0.4209318161010742,0.2696104645729065,0.22571724653244019,8e-05,0.9944493174552917,0.39281830191612244,0.2614491581916809,0.23148830235004425
11,0.9979611039161682,0.45973265171051025,0.30283188819885254,0.2154468297958374,8e-05,0.9925245642662048,0.3880453109741211,0.2845640480518341,0.22560720145702362
12,0.9979782700538635,0.4650226831436157,0.3272973597049713,0.20848679542541504,8e-05,0.9585145115852356,0.19029682874679565,0.17137199640274048,0.2816568911075592
13,0.9981526732444763,0.4927791357040405,0.3556242883205414,0.19979454576969147,8e-05,0.9948999881744385,0.4140985906124115,0.3240112364292145,0.21251551806926727
14,0.9983083009719849,0.5174859166145325,0.39110299944877625,0.18898530304431915,8e-05,0.996398389339447,0.4517512321472168,0.3695833683013916,0.19768427312374115
15,0.9983694553375244,0.5295088291168213,0.4152414798736572,0.1817922741174698,8e-05,0.9944266080856323,0.4339465796947479,0.3611271381378174,0.20215244591236115
