epoch,accuracy,binary_dice_coefficient,dice_coefficient,loss,lr,val_accuracy,val_binary_dice_coefficient,val_dice_coefficient,val_loss
0,0.9913318753242493,0.49293068051338196,0.4920286536216736,0.3342588245868683,5e-06,0.9978016018867493,0.4824117422103882,0.4814462959766388,0.3408505618572235
1,0.9924035668373108,0.5049861669540405,0.5039629340171814,0.3259301781654358,4.6e-06,0.9976480603218079,0.4707373380661011,0.4697737693786621,0.34631553292274475
2,0.9930300116539001,0.5232953429222107,0.5222012400627136,0.3123604953289032,3.89344e-06,0.9975847601890564,0.47236132621765137,0.47147461771965027,0.3435562551021576
3,0.9919605851173401,0.4956355392932892,0.4945371448993683,0.3311108350753784,3.031775e-06,0.997534453868866,0.4698667526245117,0.4693230390548706,0.3450733721256256
4,0.9922347664833069,0.5163878202438354,0.5151799917221069,0.3146417438983917,2.1719422e-06,0.9975451827049255,0.47106000781059265,0.4699428379535675,0.34478631615638733
5,0.9914166927337646,0.5094853639602661,0.508264422416687,0.32187461853027344,1.431487e-06,0.9975087642669678,0.4672910273075104,0.46646979451179504,0.34813573956489563
6,0.9915704131126404,0.5209009647369385,0.5197370648384094,0.3139980435371399,4.3399467e-07,0.9975683689117432,0.4714038372039795,0.47042515873908997,0.3466324806213379
7,0.9922472238540649,0.5261126160621643,0.5248743891716003,0.3097710609436035,2.4210246e-07,0.9975590109825134,0.4689803123474121,0.4681713283061981,0.3477838933467865
8,0.9919737577438354,0.5232381224632263,0.5219689011573792,0.3113551735877991,1.2425156e-07,0.9975883364677429,0.4677392244338989,0.4669204652309418,0.34918585419654846
9,0.9910638928413391,0.48719078302383423,0.48628053069114685,0.3378029763698578,5.8666785e-08,0.9974387884140015,0.46198058128356934,0.461013525724411,0.34969332814216614
10,0.9923861622810364,0.5178655982017517,0.5166171193122864,0.3163532316684723,2.5484175e-08,0.9975185990333557,0.4668182134628296,0.46580877900123596,0.34740889072418213
11,0.9924441576004028,0.5249472856521606,0.5230266451835632,0.3115282952785492,1.0184428e-08,0.9975703954696655,0.47127804160118103,0.47038793563842773,0.3464711606502533
12,0.9922851920127869,0.5156989693641663,0.5144734978675842,0.3188244700431824,3.744472e-09,0.9974802136421204,0.469184547662735,0.4683033227920532,0.3449954092502594
