epoch,accuracy,binary_dice_coefficient,dice_coefficient,loss,lr,val_accuracy,val_binary_dice_coefficient,val_dice_coefficient,val_loss
0,0.6290479898452759,0.021104667335748672,0.011752947233617306,0.6061206459999084,3.75e-05,0.7083835601806641,0.009679294191300869,0.006336503196507692,0.6396867036819458
1,0.8428167104721069,0.050497449934482574,0.01394327636808157,0.5867255926132202,3.75e-05,0.16667883098125458,0.007588633801788092,0.006428528111428022,0.6386329531669617
2,0.8948907256126404,0.07095810770988464,0.014620465226471424,0.5825746655464172,7.5e-05,0.25193747878074646,0.007950571365654469,0.008594311773777008,0.7173367142677307
3,0.908663272857666,0.07982492446899414,0.015683965757489204,0.5775834321975708,0.0001125,0.6290624737739563,0.01840096525847912,0.010893183760344982,0.8712801933288574
4,0.921953022480011,0.08891591429710388,0.016898734495043755,0.5724881291389465,0.00015,0.8469749093055725,0.05377492681145668,0.013145562261343002,0.6628509163856506
5,0.9379249811172485,0.10558400303125381,0.0187199916690588,0.5663816332817078,0.0001875,0.8780063390731812,0.04140477254986763,0.015829598531126976,0.5990127921104431
6,0.9422584176063538,0.11136003583669662,0.021376879885792732,0.5628873705863953,0.000225,0.7212978601455688,0.022348428145051003,0.016224997118115425,0.6582135558128357
7,0.951809287071228,0.12373674660921097,0.026561660692095757,0.5558374524116516,0.0002625,0.8966584205627441,0.07067764550447464,0.02135877124965191,0.6035388112068176
8,0.9565191864967346,0.13453181087970734,0.03610362112522125,0.5493725538253784,0.0003,0.892224133014679,0.06705956906080246,0.026695534586906433,0.6546488404273987
9,0.9698720574378967,0.1607009470462799,0.06045754626393318,0.5332837700843811,0.0002999126,0.9192805290222168,0.08235917240381241,0.042472708970308304,0.600979745388031
10,0.9792116284370422,0.18802252411842346,0.10990115255117416,0.5093223452568054,0.00029965042,0.9799016714096069,0.13930821418762207,0.08534184843301773,0.5523169040679932
11,0.9875137209892273,0.23201614618301392,0.16948547959327698,0.47783777117729187,0.00029921386,0.9416913390159607,0.05361124500632286,0.05004734918475151,0.6247500777244568
12,0.992692232131958,0.28256842494010925,0.23203372955322266,0.4460550546646118,0.00029860335,0.9784584045410156,0.11907575279474258,0.11340101808309555,0.5783761143684387
13,0.9948851466178894,0.32671377062797546,0.28506559133529663,0.4228818416595459,0.00029781964,0.9921795129776001,0.3221395015716553,0.2757335901260376,0.4383060038089752
14,0.9965565204620361,0.38461923599243164,0.3469609320163727,0.39202073216438293,0.00029686367,0.9894145727157593,0.3047485649585724,0.28518250584602356,0.4354461431503296
15,0.9971866607666016,0.4317661225795746,0.4032001495361328,0.3636951446533203,0.00029573648,0.994960606098175,0.3071068227291107,0.2955423891544342,0.45360267162323
16,0.9973587393760681,0.4539943039417267,0.4325563311576843,0.3513627350330353,0.00029443944,0.9969350099563599,0.41586992144584656,0.39833304286003113,0.3845583498477936
17,0.9975530505180359,0.48655909299850464,0.4697785973548889,0.32981395721435547,0.00029297406,0.9937209486961365,0.34423646330833435,0.3396178185939789,0.4039771556854248
18,0.9974082708358765,0.49265623092651367,0.47882333397865295,0.3229462206363678,0.00029134203,0.9973111152648926,0.37876108288764954,0.3657185733318329,0.4231146275997162
19,0.9976717233657837,0.5034105181694031,0.4928843080997467,0.31746822595596313,0.00028954525,0.9964928030967712,0.3851982057094574,0.37823745608329773,0.40321341156959534
20,0.9977178573608398,0.5200101137161255,0.5117095708847046,0.30533933639526367,0.00028758583,0.9943198561668396,0.384507417678833,0.3790604770183563,0.38753071427345276
21,0.9977574944496155,0.5258001685142517,0.5189111828804016,0.3018670976161957,0.00028546606,0.9967608451843262,0.40961217880249023,0.40322574973106384,0.4032488763332367
