epoch,accuracy,dice_loss,loss,val_accuracy,val_dice_loss,val_loss
0,0.5721480250358582,0.9910343289375305,0.9910343289375305,0.007535411510616541,0.9935503005981445,0.9935503005981445
1,0.48789313435554504,0.9882327318191528,0.9882327318191528,0.368131548166275,0.9919707179069519,0.9919707179069519
2,0.6468132734298706,0.984420120716095,0.984420120716095,0.6340786218643188,0.986549437046051,0.986549437046051
3,0.7465630769729614,0.9794546365737915,0.9794546365737915,0.8809952139854431,0.9819123148918152,0.9819123148918152
4,0.7799015641212463,0.9758050441741943,0.9758050441741943,0.9837215542793274,0.994059145450592,0.994059145450592
5,0.7837792634963989,0.9743444919586182,0.9743444919586182,0.9900973439216614,0.9940436482429504,0.9940436482429504
6,0.7928443551063538,0.9713399410247803,0.9713399410247803,0.9966628551483154,0.9963673949241638,0.9963673949241638
7,0.8173375725746155,0.965788722038269,0.965788722038269,0.9965202212333679,0.9968474507331848,0.9968474507331848
8,0.8264057040214539,0.9572667479515076,0.9572667479515076,0.9970791339874268,0.9968104958534241,0.9968104958534241
9,0.8399749994277954,0.9516617059707642,0.9516617059707642,0.9966254234313965,0.9974651336669922,0.9974651336669922
10,0.8337910175323486,0.9465530514717102,0.9465530514717102,0.9967712759971619,0.9979950785636902,0.9979950785636902
11,0.8565170168876648,0.9355078935623169,0.9355078935623169,0.9967468976974487,0.9982266426086426,0.9982266426086426
12,0.8593755960464478,0.9270568490028381,0.9270568490028381,0.9967454075813293,0.9981088638305664,0.9981088638305664
13,0.8692318201065063,0.9102655649185181,0.9102655649185181,0.9967986941337585,0.9982883334159851,0.9982883334159851
14,0.8680649399757385,0.9062650203704834,0.9062650203704834,0.9967138767242432,0.9982169270515442,0.9982169270515442
15,0.8607763648033142,0.9101359248161316,0.9101359248161316,0.996751070022583,0.9984013438224792,0.9984013438224792
16,0.8645288944244385,0.9080708622932434,0.9080708622932434,0.9967240691184998,0.9984180927276611,0.9984180927276611
17,0.8669741749763489,0.9021084904670715,0.9021084904670715,0.9967667460441589,0.9985130429267883,0.9985130429267883
18,0.8570508360862732,0.8941016793251038,0.8941016793251038,0.9969350099563599,0.9987011551856995,0.9987011551856995
19,0.8578252196311951,0.8895241618156433,0.8895241618156433,0.9967131614685059,0.9987773299217224,0.9987773299217224
20,0.8603032231330872,0.8957259654998779,0.8957259654998779,0.9969784617424011,0.9988395571708679,0.9988395571708679
21,0.8584269285202026,0.885421097278595,0.885421097278595,0.9968414902687073,0.9988817572593689,0.9988817572593689
22,0.862467348575592,0.8965975046157837,0.8965975046157837,0.9967297911643982,0.9988923072814941,0.9988923072814941
23,0.8677190542221069,0.8874077200889587,0.8874077200889587,0.9968210458755493,0.9989001750946045,0.9989001750946045
